Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,1.0,1.5,1,1,1,1,1,0.0,22191,3328,627,0.001196
Agent4LR-M1R1-M1R1-M2R1,1.0,1.5,1,1,1,1,1,0.0,22191,1280,627,0.002087
Agent4LR-M1R1-M1R1-M2R2,1.0,1.5,1,1,1,1,1,0.0,22191,1280,1507,0.003847
Agent4LR-M1R1-M1R1-M2R3,1.0,1.5,1,1,1,1,1,0.0,22191,1280,2880,0.006593
Agent4LR-M1R1-M1R1-M3R1,1.0,2.0,1,1,1,1,1,0.1111111111111111,22191,1280,627,0.006035
Agent4LR-M1R1-M2R1-M1R1,1.0,1.5,1,1,1,1,1,0.0,21802,1664,613,0.004775
Agent4LR-M1R1-M2R1-M2R1,1.0,1.5,1,1,1,1,1,0.0,21802,3328,613,0.005170
Agent4LR-M1R1-M2R2-M1R1,1.0,1.5,1,1,1,1,1,0.0,18067,0,934,0.004899
Agent4LR-M1R1-M2R3-M1R1,1.0,1.5,1,1,1,1,1,0.0,18066,0,5057,0.013145
Agent4LR-M1R1-M3R1-M1R1,1.0,1.5,1,1,1,1,1,0.0,21783,3456,642,0.022957
Agent4LR-M1R1-M3R1-M3R1,1.0,2.0,1,1,1,1,1,0.1111111111111111,21783,3456,642,0.025214
Agent4LR-M2R1-M1R1-M1R1,1.0,1.5,1,1,1,1,1,0.0,17424,0,424,0.001554
Agent4LR-M2R1-M1R1-M2R1,1.0,1.5,1,1,1,1,1,0.0,17424,1664,424,0.001893
Agent4LR-M2R1-M2R1-M1R1,1.0,1.5,1,1,1,1,1,0.0,13741,0,374,0.003589
Agent4LR-M2R1-M2R1-M2R1,1.0,1.5,1,1,1,1,1,0.0,13741,0,374,0.004183
Agent4LR-M2R1-M2R1-M2R2,1.0,2.0,1,1,1,1,1,0.1111111111111111,13741,0,1223,0.005881
Agent4LR-M2R1-M2R1-M2R3,1.0,1.5,1,1,1,1,1,0.0,13741,0,2123,0.007681
Agent4LR-M2R1-M2R1-M3R1,1.0,2.0,1,1,1,1,1,0.1111111111111111,13741,0,374,0.007153
Agent4LR-M2R1-M2R2-M2R1,1.0,1.5,1,1,1,1,1,0.0,14317,1664,1462,0.006129
Agent4LR-M2R1-M2R3-M2R1,1.0,1.5,1,1,1,1,1,0.0,24443,10496,11258,0.026265
Agent4LR-M2R1-M3R1-M2R1,1.0,1.5,1,1,1,1,1,0.0,25485,1664,497,0.029862
Agent4LR-M2R1-M3R1-M3R1,1.0,2.0,1,1,1,1,1,0.1111111111111111,25485,0,497,0.034261
Agent4LR-M2R2-M1R1-M1R1,1.0,1.5,1,1,1,1,1,0.0,23539,1920,473,0.001703
Agent4LR-M2R2-M2R1-M2R1,1.0,1.5,1,1,1,1,1,0.0,19466,2688,437,0.005136
Agent4LR-M2R2-M2R2-M2R2,1.0,1.5,1,1,1,1,1,0.0,13259,0,2168,0.007651
Agent4LR-M2R2-M3R1-M3R1,1.0,2.0,1,1,1,1,1,0.1111111111111111,19548,0,424,0.026518
Agent4LR-M2R3-M1R1-M1R1,1.0,2.0,1,1,1,1,1,0.1111111111111111,38526,1280,1856,0.005120
Agent4LR-M2R3-M2R1-M2R1,1.0,1.5,1,1,1,1,1,0.0,22536,0,1711,0.009056
Agent4LR-M2R3-M2R3-M2R3,1.0,1.5,1,1,1,1,1,0.0,18927,0,4645,0.014022
Agent4LR-M2R3-M3R1-M3R1,1.0,2.0,1,1,1,1,1,0.1111111111111111,18926,1536,1704,0.026397
Agent4LR-M3R1-M1R1-M1R1,1.0,2.0,1,1,1,1,1,0.1111111111111111,7270,0,757,0.008055
Agent4LR-M3R1-M1R1-M3R1,1.0,1.5,1,1,1,1,1,0.0,7270,0,757,0.011237
Agent4LR-M3R1-M2R1-M2R1,1.0,1.5,1,1,1,1,1,0.0,20323,0,873,0.012984
Agent4LR-M3R1-M2R1-M3R1,1.0,1.5,1,1,1,1,1,0.0,20323,2688,873,0.013895
Agent4LR-M3R1-M2R2-M3R1,1.0,1.5,1,1,1,1,1,0.0,23928,1664,1331,0.018488
Agent4LR-M3R1-M2R3-M3R1,1.0,1.5,1,1,1,1,1,0.0,24151,7040,6481,0.027585
Agent4LR-M3R1-M3R1-M1R1,1.0,1.5,1,1,1,1,1,0.0,16744,0,865,0.025132
Agent4LR-M3R1-M3R1-M2R1,1.0,1.5,1,1,1,1,1,0.0,16744,0,865,0.025873
Agent4LR-M3R1-M3R1-M2R2,1.0,1.5,1,1,1,1,1,0.0,16744,0,1031,0.026205
Agent4LR-M3R1-M3R1-M2R3,1.0,1.5,1,1,1,1,1,0.0,16744,0,1243,0.026629
Agent4LR-M3R1-M3R1-M3R1,1.0,1.5,1,1,1,1,1,0.0,16744,0,865,0.029580
