rank;signature;path;startLine;endLine;score
1;tornado.web$StaticFileHandler.validate_absolute_path(self,root,absolute_path);tornado/web.py;2359;2398;0.660408825313113
2;tornado.web$StaticFileHandler.head(self,path);tornado/web.py;2205;2206;0.2242706131406358
3;tornado.http1connection$HTTP1Connection._read_message(self,delegate);tornado/http1connection.py;153;261;0.21355767960723396
3;tornado.web$RequestHandler.flush(self,include_footers,callback);tornado/web.py;854;900;0.21355767960723396
5;tornado.web$RequestHandler._handle_request_exception(self,e);tornado/web.py;1452;1476;0.2087501482411746
9;tornado.web$StaticFileHandler.get(self,path,include_body);tornado/web.py;2208;2282;0.19607843137254904
9;tornado.web$StaticFileHandler.initialize(self,path,default_filename);tornado/web.py;2196;2198;0.19607843137254904
14;tornado.web$StaticFileHandler.get_absolute_path(cls,root,path);tornado/web.py;2342;2357;0.18881631799579962
17;tornado.web$Application.__init__(self,handlers,default_host,transforms,**settings);tornado/web.py;1724;1768;0.16860699896573406
210;tornado.httpserver$HTTPServer.close_all_connections(self);tornado/httpserver.py;166;171;0.08440713185354541
210;tornado.httpserver$HTTPServer.configurable_base(cls);tornado/httpserver.py;158;160;0.08440713185354541
272;tornado.web$RequestHandler.static_url(self,path,include_host,**kwargs);tornado/web.py;1255;1288;0.0
272;tornado.web$StaticFileHandler.get_content_size(self);tornado/web.py;2460;2472;0.0
