rank;signature;path;startLine;endLine;score
1;tornado.web$StaticFileHandler.head(self,path);tornado/web.py;2205;2206;1.0
2;tornado.web$StaticFileHandler.initialize(self,path,default_filename);tornado/web.py;2196;2198;0.9999359015447727
3;tornado.web$StaticFileHandler.get(self,path,include_body);tornado/web.py;2208;2282;0.9998077046343183
4;tornado.web$StaticFileHandler.validate_absolute_path(self,root,absolute_path);tornado/web.py;2359;2398;0.9994872123581822
5;tornado.http1connection$HTTP1Connection._read_message(self,delegate);tornado/http1connection.py;153;261;0.9994231139029549
6;tornado.web$RequestHandler.flush(self,include_footers,callback);tornado/web.py;854;900;0.9993590154477278
7;tornado.web$RequestHandler._handle_request_exception(self,e);tornado/web.py;1452;1476;0.9992949169925005
14;tornado.web$StaticFileHandler.get_absolute_path(cls,root,path);tornado/web.py;2342;2357;0.9980129478879559
17;tornado.web$Application.__init__(self,handlers,default_host,transforms,**settings);tornado/web.py;1724;1768;0.9966668803281841
217;tornado.httpserver$HTTPServer.configurable_base(cls);tornado/httpserver.py;158;160;0.9162233190180117
218;tornado.httpserver$HTTPServer.close_all_connections(self);tornado/httpserver.py;166;171;0.9161592205627844
386;tornado.web$RequestHandler.static_url(self,path,include_host,**kwargs);tornado/web.py;1255;1288;0.8409717325812448
431;tornado.web$StaticFileHandler.get_content_size(self);tornado/web.py;2460;2472;0.818344977886033
508;demos.chat.chatdemo$main();demos/chat/chatdemo.py;113;128;0.7778988526376515
610;tornado.autoreload$_reload();tornado/autoreload.py;208;250;0.6732260752515864
