Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.18181818181818182,6687,0,640,0.000590
Agent4LR-M1R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,6687,0,640,0.001058
Agent4LR-M1R1-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,6687,0,757,0.001292
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,6687,0,1377,0.002532
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,6687,0,640,0.003396
Agent4LR-M1R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,17281,0,706,0.003926
Agent4LR-M1R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,17281,0,706,0.004672
Agent4LR-M1R1-M2R2-M1R1,3.0,3.0,0,0,1,1,1,0.18181818181818182,13520,0,708,0.003022
Agent4LR-M1R1-M2R3-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,17281,1664,2063,0.006266
Agent4LR-M1R1-M3R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,18053,4096,749,0.016265
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,18053,3584,749,0.019662
Agent4LR-M2R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,20835,1024,403,0.001646
Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,20835,0,403,0.002531
Agent4LR-M2R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,31846,7424,426,0.006394
Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,31846,6400,426,0.007374
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,31846,6400,772,0.008065
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,31846,6400,1654,0.009830
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,31846,6400,426,0.012020
Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,12796,2432,359,0.003370
Agent4LR-M2R1-M2R3-M2R1,1.0,1.0,1,1,1,1,1,0.0,15929,3328,2683,0.008599
Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,20810,1152,417,0.022244
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,20810,2176,417,0.025264
Agent4LR-M2R2-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,39889,5632,706,0.002710
Agent4LR-M2R2-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,15061,1920,488,0.004309
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,11944,0,892,0.004770
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,11944,1024,495,0.015170
Agent4LR-M2R3-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,28882,3072,1029,0.003108
Agent4LR-M2R3-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,12166,0,913,0.004868
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,19502,0,6488,0.017851
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,20202,5120,999,0.022460
Agent4LR-M3R1-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.18181818181818182,10169,1664,816,0.008459
Agent4LR-M3R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,10169,1664,816,0.012022
Agent4LR-M3R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,22645,4352,910,0.012924
Agent4LR-M3R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,22645,5376,910,0.015786
Agent4LR-M3R1-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,15266,2688,1601,0.015623
Agent4LR-M3R1-M2R3-M3R1,1.0,1.0,1,1,1,1,1,0.0,18893,2688,1639,0.017685
Agent4LR-M3R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,23842,1024,924,0.032362
Agent4LR-M3R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,23842,1024,924,0.033284
Agent4LR-M3R1-M3R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,23842,1024,1387,0.034210
Agent4LR-M3R1-M3R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,23842,1024,1576,0.034588
Agent4LR-M3R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,23842,4096,924,0.034434
