corpus_id;path;startLine;endLine
examples.7zx$main();examples/7zx.py;38;113
tqdm.gui$tqdm_gui.update(self,n);tqdm/gui.py;173;222
tqdm.std$Bar.__init__(self,frac,default_len,charset);tqdm/std.py;145;152
tqdm.std$Bar.__format__(self,format_spec);tqdm/std.py;154;184
tqdm.std$tqdm.format_meter(n,total,elapsed,ncols,prefix,ascii,unit,unit_scale,rate,bar_format,postfix,unit_divisor,**extra_kwargs);tqdm/std.py;310;511
tqdm.std$tqdm._decr_instances(cls,instance);tqdm/std.py;542;571
tqdm.std$tqdm.__init__(self,iterable,desc,total,leave,file,ncols,mininterval,maxinterval,miniters,ascii,disable,unit,unit_scale,dynamic_ncols,smoothing,bar_format,initial,position,postfix,unit_divisor,write_bytes,lock_args,gui,**kwargs);tqdm/std.py;786;1033
tqdm.std$tqdm.__bool__(self);tqdm/std.py;1035;1040
tqdm.std$tqdm.update(self,n);tqdm/std.py;1161;1235
tqdm.utils$FormatReplace.__format__(self,_);tqdm/utils.py;139;141
tqdm.utils$_is_ascii(s);tqdm/utils.py;254;260
tqdm.utils$disp_trim(data,length);tqdm/utils.py;356;367
