Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,50519,0,1406,0.003088
Agent4LR-M1R1-M1R1-M2R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,50519,0,1406,0.004804
Agent4LR-M1R1-M1R1-M2R2,2.0,2.0,0,1,1,1,1,0.08333333333333333,50519,0,1587,0.005166
Agent4LR-M1R1-M1R1-M2R3,2.0,2.0,0,1,1,1,1,0.08333333333333333,50519,0,2372,0.006736
Agent4LR-M1R1-M1R1-M3R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,50519,0,1406,0.013383
Agent4LR-M1R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,44787,0,1370,0.010245
Agent4LR-M1R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,44787,0,1370,0.011942
Agent4LR-M1R1-M2R2-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,50958,0,2457,0.013944
Agent4LR-M1R1-M2R3-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,34142,4736,3592,0.011427
Agent4LR-M1R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,30838,2048,1363,0.031217
Agent4LR-M1R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,30838,2048,1363,0.037906
Agent4LR-M2R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,12389,0,461,0.001530
Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,12389,0,461,0.002403
Agent4LR-M2R1-M2R1-M1R1,3.0,3.0,0,0,1,1,1,0.16666666666666666,29765,0,527,0.007108
Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,29765,0,527,0.008495
Agent4LR-M2R1-M2R1-M2R2,2.0,2.0,0,1,1,1,1,0.08333333333333333,29765,0,781,0.009003
Agent4LR-M2R1-M2R1-M2R3,2.0,2.0,0,1,1,1,1,0.08333333333333333,29765,0,1521,0.010483
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,29765,0,527,0.015429
Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,16205,3712,924,0.005064
Agent4LR-M2R1-M2R3-M2R1,1.0,1.0,1,1,1,1,1,0.0,16505,7808,2667,0.007703
Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,16505,5760,498,0.014322
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,16505,2048,498,0.019678
Agent4LR-M2R2-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.16666666666666666,7273,0,1073,0.002555
Agent4LR-M2R2-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,31416,3712,1189,0.009397
Agent4LR-M2R2-M2R2-M2R2,2.0,2.0,0,1,1,1,1,0.08333333333333333,15620,0,1445,0.006795
Agent4LR-M2R2-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,22891,1024,1181,0.030459
Agent4LR-M2R3-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,13324,1024,630,0.001829
Agent4LR-M2R3-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,40813,0,724,0.011651
Agent4LR-M2R3-M2R3-M2R3,2.0,2.0,0,1,1,1,1,0.08333333333333333,13236,0,2669,0.008647
Agent4LR-M2R3-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,49824,1024,825,0.064573
Agent4LR-M3R1-M1R1-M1R1,4.0,4.0,0,0,0,1,1,0.25,6850,0,635,0.006967
Agent4LR-M3R1-M1R1-M3R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,6850,0,635,0.009817
Agent4LR-M3R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,40139,7424,815,0.015303
Agent4LR-M3R1-M2R1-M3R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,40139,7424,815,0.023210
Agent4LR-M3R1-M2R2-M3R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,12986,0,805,0.014660
Agent4LR-M3R1-M2R3-M3R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,12986,1664,1825,0.016326
Agent4LR-M3R1-M3R1-M1R1,4.0,4.0,0,0,0,1,1,0.25,26666,4096,779,0.030523
Agent4LR-M3R1-M3R1-M2R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,26666,4096,779,0.031522
Agent4LR-M3R1-M3R1-M2R2,2.0,2.0,0,1,1,1,1,0.08333333333333333,26666,4096,937,0.031838
Agent4LR-M3R1-M3R1-M2R3,2.0,2.0,0,1,1,1,1,0.08333333333333333,26666,4096,1259,0.032482
Agent4LR-M3R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,26666,4096,779,0.036515
