Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.2857142857142857,62689,0,778,0.003446
Agent4LR-M1R1-M1R1-M2R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,62689,0,778,0.005175
Agent4LR-M1R1-M1R1-M2R2,2.0,2.0,0,1,1,1,1,0.14285714285714285,62689,0,1256,0.006131
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,62689,0,2559,0.008737
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,62689,0,778,0.013824
Agent4LR-M1R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,23508,0,625,0.005341
Agent4LR-M1R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,23508,0,625,0.006339
Agent4LR-M1R1-M2R2-M1R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,9952,2176,1302,0.003202
Agent4LR-M1R1-M2R3-M1R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,22095,3328,5743,0.014495
Agent4LR-M1R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,16066,0,604,0.017370
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,16066,0,604,0.021393
Agent4LR-M2R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,43401,0,576,0.002973
Agent4LR-M2R1-M1R1-M2R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,43401,0,576,0.004318
Agent4LR-M2R1-M2R1-M1R1,6.0,6.0,0,0,0,0,0,0.7142857142857143,28989,1664,498,0.006701
Agent4LR-M2R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,28989,1664,498,0.007869
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,28989,1664,962,0.008797
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,28989,1664,1209,0.009291
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,28989,1664,498,0.013708
Agent4LR-M2R1-M2R2-M2R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,17122,0,1196,0.006672
Agent4LR-M2R1-M2R3-M2R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,11432,1664,3189,0.008862
Agent4LR-M2R1-M3R1-M2R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,11432,2560,419,0.012029
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,11432,0,419,0.015619
Agent4LR-M2R2-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.2857142857142857,6189,0,467,0.001262
Agent4LR-M2R2-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,27267,5376,619,0.006845
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,8210,0,2045,0.006143
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,33668,0,697,0.045226
Agent4LR-M2R3-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,11632,0,587,0.001694
Agent4LR-M2R3-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,26707,6784,717,0.006584
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,13374,0,6509,0.016362
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,14818,0,660,0.020733
Agent4LR-M3R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,18393,0,837,0.008576
Agent4LR-M3R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,18393,0,837,0.014159
Agent4LR-M3R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,13457,4352,837,0.010160
Agent4LR-M3R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,13457,5760,837,0.011995
Agent4LR-M3R1-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,11032,1792,1195,0.014179
Agent4LR-M3R1-M2R3-M3R1,1.0,1.0,1,1,1,1,1,0.0,14139,3072,2147,0.015390
Agent4LR-M3R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.14285714285714285,20234,0,860,0.027945
Agent4LR-M3R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,20234,0,860,0.028937
Agent4LR-M3R1-M3R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,20234,0,970,0.029157
Agent4LR-M3R1-M3R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,20234,0,1370,0.029957
Agent4LR-M3R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,20234,0,860,0.033893
