corpus_id;path;startLine;endLine
youtube_dl$_real_main(argv);youtube_dl/__init__.py;46;385
youtube_dl$main(argv);youtube_dl/__init__.py;388;396
youtube_dl.extractor.appletrailers$AppleTrailersIE._real_extract(self,url);youtube_dl/extractor/appletrailers.py;70;143
youtube_dl.extractor.ceskatelevize$CeskaTelevizeIE._fix_subtitles(subtitles);youtube_dl/extractor/ceskatelevize.py;128;155
youtube_dl.extractor.clipsyndicate$ClipsyndicateIE._real_extract(self,url);youtube_dl/extractor/clipsyndicate.py;27;54
youtube_dl.utils$find_xpath_attr(node,xpath,key,val);youtube_dl/utils.py;140;145
youtube_dl.utils$DateRange.__init__(self,start,end);youtube_dl/utils.py;818;829
youtube_dl.utils$DateRange.__contains__(self,date);youtube_dl/utils.py;836;840
youtube_dl.utils$get_filesystem_encoding();youtube_dl/utils.py;1064;1066
youtube_dl.utils$shell_quote(args);youtube_dl/utils.py;1069;1077
youtube_dl.utils$smuggle_url(url,data);youtube_dl/utils.py;1089;1094
youtube_dl.utils$InAdvancePagedList.__init__(self,pagefunc,pagecount,pagesize);youtube_dl/utils.py;1411;1414
youtube_dl.utils$InAdvancePagedList.getslice(self,start,end);youtube_dl/utils.py;1416;1436
youtube_dl.utils$parse_xml(s);youtube_dl/utils.py;1508;1522
youtube_dl.utils$js_to_json(code);youtube_dl/utils.py;1546;1568
