rank;signature;path;startLine;endLine;score
1;youtube_dl.options$parseOpts(overrideArguments);youtube_dl/options.py;41;916;1.0
2;youtube_dl$_real_main(argv);youtube_dl/__init__.py;48;467;0.8014012128912419
3;youtube_dl.extractor.generic$GenericIE._real_extract(self,url);youtube_dl/extractor/generic.py;2198;3397;0.7631957411630045
4;youtube_dl.extractor.youtube$YoutubeIE._real_extract(self,url);youtube_dl/extractor/youtube.py;1506;2215;0.6960377478977411
5;youtube_dl.YoutubeDL$YoutubeDL.process_video_result(self,info_dict,download);youtube_dl/YoutubeDL.py;1407;1642;0.650800347224536
73;youtube_dl.YoutubeDL$YoutubeDL.build_format_selector(self,format_spec);youtube_dl/YoutubeDL.py;1119;1382;0.2737313072432653
79;youtube_dl.postprocessor.embedthumbnail$EmbedThumbnailPP.run(self,info);youtube_dl/postprocessor/embedthumbnail.py;29;93;0.2584854392597806
82;youtube_dl.utils$ExtractorError.__init__(self,msg,tb,expected,cause,video_id);youtube_dl/utils.py;741;759;0.25310281083040365
1405;youtube_dl.downloader.rtmp$rtmpdump_version();youtube_dl/downloader/rtmp.py;18;20;0.03546725412851526
1450;youtube_dl.YoutubeDL$YoutubeDL._calc_headers(self,info_dict);youtube_dl/YoutubeDL.py;1384;1400;0.03408174235102001
1503;youtube_dl.YoutubeDL$YoutubeDL._build_format_filter(self,filter_spec);youtube_dl/YoutubeDL.py;1032;1093;0.031863902045673076
2163;youtube_dl.extractor.common$InfoExtractor._match_id(cls,url);youtube_dl/extractor/common.py;391;397;0.007456539704455619
2196;youtube_dl.downloader.ism$box(box_type,payload);youtube_dl/downloader/ism.py;35;36;0.006333696346965574
