rank;signature;path;startLine;endLine;score
1;youtube_dl.utils$js_to_json(code);youtube_dl/utils.py;1698;1720;0.660408825313113
2;youtube_dl.utils$DateRange.__contains__(self,date);youtube_dl/utils.py;976;980;0.0
2;youtube_dl.utils$DateRange.__init__(self,start,end);youtube_dl/utils.py;958;969;0.0
2;youtube_dl.utils$ExtractorError.__init__(self,msg,tb,expected,cause,video_id);youtube_dl/utils.py;518;536;0.0
2;youtube_dl.utils$InAdvancePagedList.__init__(self,pagefunc,pagecount,pagesize);youtube_dl/utils.py;1551;1554;0.0
2;youtube_dl.utils$find_xpath_attr(node,xpath,key,val);youtube_dl/utils.py;143;149;0.0
2;youtube_dl.utils$get_filesystem_encoding();youtube_dl/utils.py;1204;1206;0.0
2;youtube_dl.utils$intlist_to_bytes(xs);youtube_dl/utils.py;1102;1105;0.0
2;youtube_dl.utils$shell_quote(args);youtube_dl/utils.py;1209;1217;0.0
2;youtube_dl.utils$str_to_int(int_str);youtube_dl/utils.py;1387;1392;0.0
