rank;signature;path;startLine;endLine;score
1;org.jfree.chart.util$ShapeUtilities.equal(GeneralPath,GeneralPath);org/jfree/chart/util/ShapeUtilities.java;255;296;1.0
2;org.jfree.chart.util$ShapeUtilities.clone(Shape);org/jfree/chart/util/ShapeUtilities.java;87;112;0.9996959779673444
3;org.jfree.chart.util$ShapeUtilities.equal(Shape,Shape);org/jfree/chart/util/ShapeUtilities.java;114;147;0.9996065597224457
4;org.jfree.chart.util$ShapeUtilities.equal(Line2D,Line2D);org/jfree/chart/util/ShapeUtilities.java;149;172;0.9994098395836687
5;org.jfree.chart.util$ShapeUtilities.equal(Ellipse2D,Ellipse2D);org/jfree/chart/util/ShapeUtilities.java;174;194;0.99932042133877
12;org.jfree.chart.util$ShapeUtilities.createDiagonalCross(float,float);org/jfree/chart/util/ShapeUtilities.java;391;415;0.9986229590285602
14;org.jfree.chart.util$ShapeUtilities.createDiamond(float);org/jfree/chart/util/ShapeUtilities.java;443;458;0.998086449559168
16;org.jfree.chart.util$ShapeUtilities.createDownTriangle(float);org/jfree/chart/util/ShapeUtilities.java;476;490;0.9978539621224315
19;org.jfree.chart.util$ShapeUtilities.contains(Rectangle2D,Rectangle2D);org/jfree/chart/util/ShapeUtilities.java;551;573;0.9973353363020191
21;org.jfree.chart.util$ShapeUtilities.ShapeUtilities();org/jfree/chart/util/ShapeUtilities.java;81;85;0.9970313142693635
620;org.jfree.chart.axis$AxisSpace.equals(Object);org/jfree/chart/axis/AxisSpace.java;321;349;0.9051451258114706
761;org.jfree.chart.axis$CyclicNumberAxis.getCycleBound();org/jfree/chart/axis/CyclicNumberAxis.java;900;914;0.8798934134520807
787;org.jfree.chart.axis$DateAxis.getTimeZone();org/jfree/chart/axis/DateAxis.java;355;365;0.8716490512724216
1123;org.jfree.chart.axis$SubCategoryAxis.getSubLabelPaint();org/jfree/chart/axis/SubCategoryAxis.java;145;154;0.8137954468229698
3890;org.jfree.chart.renderer.category$MinMaxCategoryRenderer.getIcon(Shape,Paint,Paint);org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java;453;492;0.417601087325858
3894;org.jfree.chart.renderer.category$MinMaxCategoryRenderer.getIcon(Shape,boolean,boolean);org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java;494;529;0.4172434143462632
3942;org.jfree.chart.renderer.category$StackedBarRenderer3D.createHorizontalBlock(double,double,double,double,boolean);org/jfree/chart/renderer/category/StackedBarRenderer3D.java;530;614;0.4071212690237316
3944;org.jfree.chart.renderer.category$StackedBarRenderer3D.createVerticalBlock(double,double,double,double,boolean);org/jfree/chart/renderer/category/StackedBarRenderer3D.java;727;811;0.40492158019922386
5069;org.jfree.chart.util$SerialUtilities.readShape(ObjectInputStream);org/jfree/chart/util/SerialUtilities.java;249;342;0.2006903088506179
