rank;signature;path;startLine;endLine;score
1;org.jfree.chart$ChartFactory.createMultiplePieChart(String,CategoryDataset,TableOrder,boolean,boolean,boolean);org/jfree/chart/ChartFactory.java;597;645;1.0
2;org.jfree.chart$ChartFactory.createMultiplePieChart3D(String,CategoryDataset,TableOrder,boolean,boolean,boolean);org/jfree/chart/ChartFactory.java;707;764;0.9603373404625729
3;org.jfree.chart.plot$MultiplePiePlot.MultiplePiePlot(CategoryDataset);org/jfree/chart/plot/MultiplePiePlot.java;138;158;0.8928906732379932
4;org.jfree.chart.plot$PiePlot.initialise(Graphics2D,Rectangle2D,PiePlot,Integer,PlotRenderingInfo);org/jfree/chart/plot/PiePlot.java;2077;2104;0.7890690904421448
5;org.jfree.chart.plot$MultiplePiePlot.equals(Object);org/jfree/chart/plot/MultiplePiePlot.java;552;589;0.7686149248661817
6;org.jfree.chart.plot$PiePlot.drawPie(Graphics2D,Rectangle2D,PlotRenderingInfo);org/jfree/chart/plot/PiePlot.java;2153;2285;0.747870813137894
21;org.jfree.chart.plot$MultiplePiePlot.MultiplePiePlot();org/jfree/chart/plot/MultiplePiePlot.java;131;136;0.5959112891698347
301;org.jfree.chart.plot$XYPlot.setDataset(XYDataset);org/jfree/chart/plot/XYPlot.java;1280;1291;0.2905862639190677
481;org.jfree.chart.plot$Plot.addChangeListener(PlotChangeListener);org/jfree/chart/plot/Plot.java;860;869;0.23762576045158032
481;org.jfree.chart.plot$Plot.removeChangeListener(PlotChangeListener);org/jfree/chart/plot/Plot.java;871;880;0.23762576045158032
534;org.jfree.chart.plot$MultiplePiePlot.getDataset();org/jfree/chart/plot/MultiplePiePlot.java;160;167;0.23010214851676195
1386;org.jfree.chart$JFreeChart.setTitle(TextTitle);org/jfree/chart/JFreeChart.java;560;579;0.10628122620244618
1451;org.jfree.data.general$AbstractDataset.hasListener(EventListener);org/jfree/data/general/AbstractDataset.java;147;162;0.09581725429668002
2676;org.jfree.chart$JFreeChart.setBackgroundPaint(Paint);org/jfree/chart/JFreeChart.java;949;972;0.030364521382974605
2828;org.jfree.chart$JFreeChart.removeLegend();org/jfree/chart/JFreeChart.java;657;665;0.0
2828;org.jfree.chart$JFreeChart.removeSubtitle(Title);org/jfree/chart/JFreeChart.java;786;797;0.0
2828;org.jfree.chart.title$LegendTitle.equals(Object);org/jfree/chart/title/LegendTitle.java;533;576;0.0
2828;org.jfree.chart.util$TableOrder.TableOrder(String);org/jfree/chart/util/TableOrder.java;64;71;0.0
