rank;signature;path;startLine;endLine;score
1;org.jfree.chart.event$RendererChangeEvent.RendererChangeEvent(Object);org/jfree/chart/event/RendererChangeEvent.java;57;65;1.0
1;org.jfree.chart.renderer$AbstractRenderer.notifyListeners(RendererChangeEvent);org/jfree/chart/renderer/AbstractRenderer.java;2333;2345;1.0
1;org.jfree.chart.renderer.category$MinMaxCategoryRenderer.setDrawLines(boolean);org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java;159;174;1.0
4;org.jfree.chart.event$ChartChangeEvent.ChartChangeEvent(Object);org/jfree/chart/event/ChartChangeEvent.java;64;72;0.7071067811865475
4;org.jfree.chart.event$ChartChangeEvent.ChartChangeEvent(Object,JFreeChart,ChartChangeEventType);org/jfree/chart/event/ChartChangeEvent.java;85;98;0.7071067811865475
4;org.jfree.chart.event$ChartChangeEventType.ChartChangeEventType(String);org/jfree/chart/event/ChartChangeEventType.java;71;78;0.7071067811865475
7;org.jfree.chart.labels$ItemLabelAnchor.equals(Object);org/jfree/chart/labels/ItemLabelAnchor.java;182;206;0.5773502691896258
7;org.jfree.chart.labels$ItemLabelPosition.equals(Object);org/jfree/chart/labels/ItemLabelPosition.java;168;196;0.5773502691896258
7;org.jfree.chart.text$TextAnchor.equals(Object);org/jfree/chart/text/TextAnchor.java;139;162;0.5773502691896258
10;org.jfree.chart.labels$StandardCategorySeriesLabelGenerator.equals(Object);org/jfree/chart/labels/StandardCategorySeriesLabelGenerator.java;133;153;0.5
10;org.jfree.chart.renderer$AbstractRenderer.equals(Object);org/jfree/chart/renderer/AbstractRenderer.java;2347;2466;0.5
10;org.jfree.chart.renderer.category$AbstractCategoryItemRenderer.equals(Object);org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java;1282;1344;0.5
10;org.jfree.chart.util$AbstractObjectList.equals(Object);org/jfree/chart/util/AbstractObjectList.java;169;198;0.5
10;org.jfree.chart.util$BooleanList.equals(Object);org/jfree/chart/util/BooleanList.java;87;99;0.5
10;org.jfree.chart.util$ObjectUtilities.equal(Object,Object);org/jfree/chart/util/ObjectUtilities.java;118;136;0.5
40;org.jfree.chart.renderer.category$MinMaxCategoryRenderer.getGroupPaint();org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java;176;186;0.0
40;org.jfree.chart.renderer.category$MinMaxCategoryRenderer.getGroupStroke();org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java;205;215;0.0
40;org.jfree.chart.renderer.category$MinMaxCategoryRenderer.getMaxIcon();org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java;258;268;0.0
40;org.jfree.chart.renderer.category$MinMaxCategoryRenderer.getObjectIcon();org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java;232;241;0.0
