corpus_id;path;startLine;endLine
org.jfree.chart.util$AbstractObjectList.get(int);org/jfree/chart/util/AbstractObjectList.java;100;114
org.jfree.chart.util$AbstractObjectList.set(int,Object);org/jfree/chart/util/AbstractObjectList.java;116;133
org.jfree.chart.util$AbstractObjectList.equals(Object);org/jfree/chart/util/AbstractObjectList.java;169;198
org.jfree.chart.util$AbstractObjectList.hashCode();org/jfree/chart/util/AbstractObjectList.java;200;222
org.jfree.chart.util$AbstractObjectList.writeObject(ObjectOutputStream);org/jfree/chart/util/AbstractObjectList.java;245;269
org.jfree.chart.util$AbstractObjectList.readObject(ObjectInputStream);org/jfree/chart/util/AbstractObjectList.java;271;292
org.jfree.chart.util$ObjectUtilities.equal(Object,Object);org/jfree/chart/util/ObjectUtilities.java;116;134
org.jfree.chart.util$SerialUtilities.readShape(ObjectInputStream);org/jfree/chart/util/SerialUtilities.java;249;342
org.jfree.chart.util$SerialUtilities.writeShape(Shape,ObjectOutputStream);org/jfree/chart/util/SerialUtilities.java;344;421
org.jfree.chart.util$ShapeList.getShape(int);org/jfree/chart/util/ShapeList.java;62;71
org.jfree.chart.util$ShapeList.setShape(int,Shape);org/jfree/chart/util/ShapeList.java;73;82
org.jfree.chart.util$ShapeList.equals(Object);org/jfree/chart/util/ShapeList.java;96;113
org.jfree.chart.util$ShapeList.hashCode();org/jfree/chart/util/ShapeList.java;115;122
org.jfree.chart.util$ShapeList.writeObject(ObjectOutputStream);org/jfree/chart/util/ShapeList.java;124;147
org.jfree.chart.util$ShapeList.readObject(ObjectInputStream);org/jfree/chart/util/ShapeList.java;149;169
org.jfree.chart.util$ShapeList.ShapeList();org/jfree/chart/util/ShapeList.java;55;60
