rank;signature;path;startLine;endLine;score
1;org.apache.commons.cli$Option.hasArgName();org/apache/commons/cli/Option.java;324;334;0.7071067811865475
2;org.apache.commons.cli$Option.getDescription();org/apache/commons/cli/Option.java;264;272;0.4082482904638631
3;org.apache.commons.cli$OptionBuilder.hasArg();org/apache/commons/cli/OptionBuilder.java;97;107;0.3922322702763681
4;org.apache.commons.cli$OptionBuilder.withDescription(String);org/apache/commons/cli/OptionBuilder.java;294;305;0.3333333333333333
5;org.apache.commons.cli$Parser.processOption(String,ListIterator);org/apache/commons/cli/Parser.java;373;430;0.31622776601683794
6;org.apache.commons.cli$OptionBuilder.isRequired();org/apache/commons/cli/OptionBuilder.java;137;147;0.25
7;org.apache.commons.cli$Options.addOption(Option);org/apache/commons/cli/Options.java;141;169;0.23570226039551587
8;org.apache.commons.cli$OptionBuilder.create(char);org/apache/commons/cli/OptionBuilder.java;307;320;0.22941573387056174
9;org.apache.commons.cli$Option.setLongOpt(String);org/apache/commons/cli/Option.java;215;223;0.21081851067789195
9;org.apache.commons.cli$Option.setType(Object);org/apache/commons/cli/Option.java;195;203;0.21081851067789195
35;org.apache.commons.cli$Parser.parse(Options,String[],Properties,boolean);org/apache/commons/cli/Parser.java;129;241;0.0827605888602368
45;org.apache.commons.cli$Parser.parse(Options,String[]);org/apache/commons/cli/Parser.java;72;86;0.07856742013183861
47;org.apache.commons.cli$Parser.setOptions(Options);org/apache/commons/cli/Parser.java;44;47;0.07669649888473704
52;org.apache.commons.cli$Parser.parse(Options,String[],Properties);org/apache/commons/cli/Parser.java;88;105;0.0
52;org.apache.commons.cli$Parser.processArgs(Option,ListIterator);org/apache/commons/cli/Parser.java;327;371;0.0
