rank;signature;path;startLine;endLine;score
1;org.apache.commons.cli$HelpFormatter.printHelp(String,Options);org/apache/commons/cli/HelpFormatter.java;324;335;1.0
2;org.apache.commons.cli$HelpFormatter.printHelp(PrintWriter,int,String,String,Options,int,int,String,boolean);org/apache/commons/cli/HelpFormatter.java;445;491;0.9990732159406858
3;org.apache.commons.cli$HelpFormatter.printHelp(int,String,String,Options,String,boolean);org/apache/commons/cli/HelpFormatter.java;400;420;0.995366079703429
4;org.apache.commons.cli$HelpFormatter.getOptionComparator();org/apache/commons/cli/HelpFormatter.java;297;305;0.9925857275254866
5;org.apache.commons.cli$HelpFormatter.printUsage(PrintWriter,int,String);org/apache/commons/cli/HelpFormatter.java;630;643;0.9814643188137164
6;org.apache.commons.cli$HelpFormatter.renderOptions(StringBuffer,int,Options,int,int);org/apache/commons/cli/HelpFormatter.java;696;792;0.9796107506950881
7;org.apache.commons.cli$HelpFormatter.printOptions(PrintWriter,int,Options,int,int);org/apache/commons/cli/HelpFormatter.java;645;664;0.9786839666357738
8;org.apache.commons.cli$HelpFormatter.renderWrappedText(StringBuffer,int,int,String);org/apache/commons/cli/HelpFormatter.java;794;841;0.9610750695088045
9;org.apache.commons.cli$Option.hasArgName();org/apache/commons/cli/Option.java;320;330;0.9601482854494903
10;org.apache.commons.cli$Option.getDescription();org/apache/commons/cli/Option.java;259;267;0.9518072289156626
13;org.apache.commons.cli$HelpFormatter.setWidth(int);org/apache/commons/cli/HelpFormatter.java;137;145;0.9443929564411492
17;org.apache.commons.cli$HelpFormatter.rtrim(String);org/apache/commons/cli/HelpFormatter.java;921;943;0.917516218721038
18;org.apache.commons.cli$HelpFormatter.printUsage(PrintWriter,int,String,Options);org/apache/commons/cli/HelpFormatter.java;493;557;0.9119555143651529
27;org.apache.commons.cli$HelpFormatter.getWidth();org/apache/commons/cli/HelpFormatter.java;147;155;0.8887859128822985
35;org.apache.commons.cli$HelpFormatter.getNewLine();org/apache/commons/cli/HelpFormatter.java;227;235;0.881371640407785
36;org.apache.commons.cli$HelpFormatter.setOptPrefix(String);org/apache/commons/cli/HelpFormatter.java;237;245;0.8804448563484708
47;org.apache.commons.cli$HelpFormatter.printHelp(PrintWriter,int,String,String,Options,int,int,String);org/apache/commons/cli/HelpFormatter.java;422;442;0.8683966635773864
160;org.apache.commons.cli$Parser.parse(Options,String[],Properties,boolean);org/apache/commons/cli/Parser.java;122;234;0.3410565338276182
163;org.apache.commons.cli$Parser.processArgs(Option,ListIterator);org/apache/commons/cli/Parser.java;303;345;0.29101019462465244
171;org.apache.commons.cli$PatternOptionBuilder.parsePattern(String);org/apache/commons/cli/PatternOptionBuilder.java;142;200;0.23725671918443003
