Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,11155,1408,678,0.000759
Agent4LR-M1R1-M1R1-M2R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,11155,1408,678,0.001183
Agent4LR-M1R1-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,11155,1408,915,0.001657
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,11155,1408,1375,0.002577
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,11155,1408,678,0.003304
Agent4LR-M1R1-M2R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,17741,1408,716,0.004225
Agent4LR-M1R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,17741,1408,716,0.004732
Agent4LR-M1R1-M2R2-M1R1,1.0,1.0,1,1,1,1,1,0.0,11193,5248,832,0.002036
Agent4LR-M1R1-M2R3-M1R1,1.0,1.0,1,1,1,1,1,0.0,9346,3840,1666,0.003580
Agent4LR-M1R1-M3R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,9346,6400,656,0.005349
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,9346,4864,656,0.007863
Agent4LR-M2R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,3582,0,261,0.000665
Agent4LR-M2R1-M1R1-M2R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,3582,0,261,0.000954
Agent4LR-M2R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,14296,0,429,0.004005
Agent4LR-M2R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,14296,0,429,0.004432
Agent4LR-M2R1-M2R1-M2R2,2.0,2.0,0,1,1,1,1,0.06666666666666667,14296,0,415,0.004404
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,14296,0,1080,0.005734
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,14296,0,429,0.006568
Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,9045,0,702,0.003665
Agent4LR-M2R1-M2R3-M2R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,10888,0,1801,0.006324
Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,9114,1152,419,0.010515
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,9114,1152,419,0.012380
Agent4LR-M2R2-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,20212,7424,1378,0.002982
Agent4LR-M2R2-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,20212,7424,1700,0.004184
Agent4LR-M2R2-M1R1-M2R3,2.0,2.0,0,1,1,1,1,0.06666666666666667,20212,7424,1842,0.004468
Agent4LR-M2R2-M1R1-M3R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,20212,7424,1378,0.006330
Agent4LR-M2R2-M2R1-M2R1,3.0,3.0,0,0,1,1,1,0.13333333333333333,20402,3200,1322,0.007025
Agent4LR-M2R2-M2R2-M2R2,3.0,3.0,0,0,1,1,1,0.13333333333333333,17475,6784,1577,0.005996
Agent4LR-M2R2-M2R2-M2R3,3.0,3.0,0,0,1,1,1,0.13333333333333333,17475,6784,2203,0.007248
Agent4LR-M2R2-M2R2-M3R1,3.0,3.0,0,0,1,1,1,0.13333333333333333,17475,6784,1476,0.008397
Agent4LR-M2R2-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,13041,7552,1298,0.011847
Agent4LR-M2R3-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,7088,0,522,0.001212
Agent4LR-M2R3-M2R1-M2R1,3.0,3.0,0,0,1,1,1,0.13333333333333333,16029,1408,627,0.004944
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,12265,0,3710,0.010486
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,10070,3328,623,0.011832
Agent4LR-M3R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,11271,6144,724,0.005764
Agent4LR-M3R1-M1R1-M3R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,11271,6144,724,0.008348
Agent4LR-M3R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,17696,2560,748,0.009690
Agent4LR-M3R1-M2R1-M3R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,17696,2560,748,0.012301
Agent4LR-M3R1-M2R2-M3R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,11291,7296,1107,0.008874
Agent4LR-M3R1-M2R3-M3R1,1.0,1.0,1,1,1,1,1,0.0,18076,9216,4866,0.017827
Agent4LR-M3R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,7655,2176,639,0.011146
Agent4LR-M3R1-M3R1-M2R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,7655,2176,639,0.011540
Agent4LR-M3R1-M3R1-M2R2,2.0,2.0,0,1,1,1,1,0.06666666666666667,7655,2176,819,0.011900
Agent4LR-M3R1-M3R1-M2R3,2.0,2.0,0,1,1,1,1,0.06666666666666667,7655,2176,1081,0.012424
Agent4LR-M3R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,7655,2176,639,0.013511
