Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,5.0,5.0,0,0,0,0,1,0.23529411764705882,28441,9216,993,0.001363
Agent4LR-M1R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,28441,9216,993,0.002117
Agent4LR-M1R1-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,28441,9216,1184,0.002499
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,28441,9216,1193,0.002517
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,28441,9216,993,0.005887
Agent4LR-M1R1-M2R1-M1R1,5.0,5.0,0,0,0,0,1,0.23529411764705882,19614,0,901,0.004991
Agent4LR-M1R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,19614,0,901,0.005616
Agent4LR-M1R1-M2R2-M1R1,4.0,4.0,0,0,0,1,1,0.17647058823529413,7646,4864,1211,0.002006
Agent4LR-M1R1-M2R3-M1R1,5.0,5.0,0,0,0,0,1,0.23529411764705882,7646,2560,1874,0.003873
Agent4LR-M1R1-M3R1-M1R1,5.0,5.0,0,0,0,0,1,0.23529411764705882,13918,8064,913,0.007901
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,13918,8064,913,0.010922
Agent4LR-M2R1-M1R1-M1R1,5.0,5.0,0,0,0,0,1,0.23529411764705882,24052,11008,786,0.001760
Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,24052,11008,786,0.002421
Agent4LR-M2R1-M2R1-M1R1,5.0,5.0,0,0,0,0,1,0.23529411764705882,20053,1024,721,0.005619
Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,20053,1024,721,0.006225
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,20053,1024,836,0.006455
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,20053,1024,1716,0.008215
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,20053,1024,721,0.009255
Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,15944,8192,1067,0.004277
Agent4LR-M2R1-M2R3-M2R1,1.0,1.0,1,1,1,1,1,0.0,14827,0,3326,0.010359
Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,18279,8448,797,0.015900
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,18279,6784,797,0.019246
Agent4LR-M2R2-M1R1-M1R1,5.0,5.0,0,0,0,0,1,0.23529411764705882,20696,0,750,0.002021
Agent4LR-M2R2-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,20696,0,1051,0.003210
Agent4LR-M2R2-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,20696,0,1534,0.004176
Agent4LR-M2R2-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,20696,0,750,0.005547
Agent4LR-M2R2-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,17876,0,741,0.005951
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,10162,0,1217,0.004974
Agent4LR-M2R2-M2R2-M2R3,1.0,1.0,1,1,1,1,1,0.0,10162,0,1997,0.006535
Agent4LR-M2R2-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,10162,0,1027,0.006518
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,12383,4736,698,0.013702
Agent4LR-M2R3-M1R1-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,19994,7040,788,0.001713
Agent4LR-M2R3-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,8683,0,621,0.003413
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,8839,0,3131,0.008472
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,8683,1024,621,0.012179
Agent4LR-M3R1-M1R1-M1R1,5.0,5.0,0,0,0,0,1,0.23529411764705882,22944,9856,805,0.005624
Agent4LR-M3R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,22944,9856,805,0.009507
Agent4LR-M3R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,20622,1408,763,0.010234
Agent4LR-M3R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,20622,1408,763,0.013320
Agent4LR-M3R1-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,10539,1408,1448,0.011285
Agent4LR-M3R1-M2R3-M3R1,1.0,1.0,1,1,1,1,1,0.0,10595,6144,2558,0.010956
Agent4LR-M3R1-M3R1-M1R1,5.0,5.0,0,0,0,0,1,0.23529411764705882,12622,4864,716,0.014616
Agent4LR-M3R1-M3R1-M2R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,12622,4864,716,0.015091
Agent4LR-M3R1-M3R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,12622,4864,1001,0.015661
Agent4LR-M3R1-M3R1-M2R3,2.0,2.0,0,1,1,1,1,0.058823529411764705,12622,4864,1157,0.015973
Agent4LR-M3R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,12622,4864,716,0.017466
