corpus_id;path;startLine;endLine
org.apache.commons.cli$DefaultParser.parse(Options,String[],Properties,boolean);org/apache/commons/cli/DefaultParser.java;83;132
org.apache.commons.cli$DefaultParser.handleProperties(Properties);org/apache/commons/cli/DefaultParser.java;134;175
org.apache.commons.cli$DefaultParser.checkRequiredOptions();org/apache/commons/cli/DefaultParser.java;177;191
org.apache.commons.cli$DefaultParser.checkRequiredArgs();org/apache/commons/cli/DefaultParser.java;193;203
org.apache.commons.cli$DefaultParser.handleToken(String);org/apache/commons/cli/DefaultParser.java;205;244
org.apache.commons.cli$DefaultParser.handleShortAndLongOption(String);org/apache/commons/cli/DefaultParser.java;440;547
org.apache.commons.cli$DefaultParser.handleConcatenatedOptions(String);org/apache/commons/cli/DefaultParser.java;631;679
org.apache.commons.cli$GnuParser.flatten(Options,String[],boolean);org/apache/commons/cli/GnuParser.java;33;113
org.apache.commons.cli$HelpFormatter.printUsage(PrintWriter,int,String,Options);org/apache/commons/cli/HelpFormatter.java;529;592
org.apache.commons.cli$Parser.parse(Options,String[]);org/apache/commons/cli/Parser.java;74;87
org.apache.commons.cli$Parser.parse(Options,String[],Properties,boolean);org/apache/commons/cli/Parser.java;124;245
org.apache.commons.cli$Parser.processArgs(Option,ListIterator);org/apache/commons/cli/Parser.java;314;356
org.apache.commons.cli$Util.stripLeadingHyphens(String);org/apache/commons/cli/Util.java;28;52
org.apache.commons.cli$Util.stripLeadingAndTrailingQuotes(String);org/apache/commons/cli/Util.java;54;76
