rank;signature;path;startLine;endLine;score
1;org.apache.commons.cli$HelpFormatter.printUsage(PrintWriter,int,String,Options);org/apache/commons/cli/HelpFormatter.java;571;634;1.0
2;org.apache.commons.cli$PatternOptionBuilder.parsePattern(String);org/apache/commons/cli/PatternOptionBuilder.java;144;206;0.9454144364210523
3;org.apache.commons.cli$Parser.parse(Options,String[],Properties,boolean);org/apache/commons/cli/Parser.java;126;245;0.8029459921651159
4;org.apache.commons.cli$OptionGroup.addOption(Option);org/apache/commons/cli/OptionGroup.java;45;58;0.7996131858775714
5;org.apache.commons.cli$DefaultParser.parse(Options,String[],Properties,boolean);org/apache/commons/cli/DefaultParser.java;84;133;0.773628693342968
9;org.apache.commons.cli$Options.addOptionGroup(OptionGroup);org/apache/commons/cli/Options.java;62;87;0.7377149383873676
30;org.apache.commons.cli$Options.addOption(Option);org/apache/commons/cli/Options.java;145;174;0.346251546445652
30;org.apache.commons.cli$Options.addOption(String,String);org/apache/commons/cli/Options.java;99;112;0.346251546445652
42;org.apache.commons.cli$HelpFormatter.setOptionComparator(Comparator<Option>);org/apache/commons/cli/HelpFormatter.java;386;396;0.34025657969171974
43;org.apache.commons.cli$OptionGroup.getOptions();org/apache/commons/cli/OptionGroup.java;70;77;0.33285323346199686
73;org.apache.commons.cli$HelpFormatter.printHelp(String,String,Options,String);org/apache/commons/cli/HelpFormatter.java;426;439;0.3029326757399851
90;org.apache.commons.cli$Options.helpOptions();org/apache/commons/cli/Options.java;186;194;0.2174886442338558
97;org.apache.commons.cli$Options.getOptions();org/apache/commons/cli/Options.java;176;184;0.18817134541170805
159;org.apache.commons.cli.Option$Builder.argName(String);org/apache/commons/cli/Option.java;825;835;0.11494966575706494
159;org.apache.commons.cli.Option$Builder.desc(String);org/apache/commons/cli/Option.java;837;847;0.11494966575706494
159;org.apache.commons.cli.Option$Builder.hasArg();org/apache/commons/cli/Option.java;957;965;0.11494966575706494
159;org.apache.commons.cli.Option$Builder.longOpt(String);org/apache/commons/cli/Option.java;849;859;0.11494966575706494
159;org.apache.commons.cli.Option$Builder.required();org/apache/commons/cli/Option.java;886;894;0.11494966575706494
