path,line,signature
com/google/javascript/jscomp/FunctionTypeBuilder.java,73,
com/google/javascript/jscomp/FunctionTypeBuilder.java,200,com.google.javascript.jscomp$FunctionTypeBuilder.inferReturnType(JSDocInfo)
com/google/javascript/jscomp/FunctionTypeBuilder.java,202,com.google.javascript.jscomp$FunctionTypeBuilder.inferReturnType(JSDocInfo)
com/google/javascript/jscomp/FunctionTypeBuilder.java,212,
com/google/javascript/jscomp/FunctionTypeBuilder.java,213,
com/google/javascript/jscomp/FunctionTypeBuilder.java,496,com.google.javascript.jscomp$FunctionTypeBuilder.buildAndRegister()
com/google/javascript/jscomp/TypedScopeCreator.java,576,
com/google/javascript/jscomp/TypedScopeCreator.java,616,
com/google/javascript/jscomp/TypedScopeCreator.java,633,
com/google/javascript/rhino/jstype/FunctionBuilder.java,100,
com/google/javascript/rhino/jstype/FunctionType.java,517,"com.google.javascript.rhino.jstype$FunctionType.cloneWithNewReturnType(JSType,boolean)"
