corpus_id;path;startLine;endLine
com.google.javascript.jscomp$AbstractPeepholeOptimization.error(DiagnosticType,Node);com/google/javascript/jscomp/AbstractPeepholeOptimization.java;44;55
com.google.javascript.jscomp$CompilerOptions.CompilerOptions();com/google/javascript/jscomp/CompilerOptions.java;776;922
com.google.javascript.jscomp$NodeUtil.checkForStateChangeHelper(Node,boolean,AbstractCompiler);com/google/javascript/jscomp/NodeUtil.java;784;934
com.google.javascript.jscomp$PeepholeFoldConstants.optimizeSubtree(Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;74;97
com.google.javascript.jscomp$PeepholeFoldConstants.tryReduceVoid(Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;181;190
com.google.javascript.jscomp$PeepholeFoldConstants.tryFoldTypeof(Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;277;332
com.google.javascript.jscomp$PeepholeFoldConstants.isEqualityOp(int);com/google/javascript/jscomp/PeepholeFoldConstants.java;1252;1261
com.google.javascript.jscomp$PeepholeFoldConstants.tryFoldGetElem(Node,Node,Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;1353;1367
com.google.javascript.jscomp$PeepholeFoldConstants.tryFoldGetProp(Node,Node,Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;1369;1407
com.google.javascript.jscomp$PeepholeFoldConstants.tryFoldArrayAccess(Node,Node,Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;1422;1472
com.google.javascript.jscomp$PeepholeFoldConstants.tryFoldObjectPropAccess(Node,Node,Node);com/google/javascript/jscomp/PeepholeFoldConstants.java;1474;1535
com.google.javascript.jscomp$RuntimeTypeCheck.addBoilerplateCode();com/google/javascript/jscomp/RuntimeTypeCheck.java;364;379
com.google.javascript.jscomp$SourceFile.toString();com/google/javascript/jscomp/SourceFile.java;301;304
com.google.javascript.rhino$Node.propToString(int);com/google/javascript/rhino/Node.java;116;149
com.google.javascript.rhino.Node$ObjectPropListItem.toString();com/google/javascript/rhino/Node.java;318;321
com.google.javascript.rhino$Node.getSortedPropTypes();com/google/javascript/rhino/Node.java;878;892
com.google.javascript.rhino$Node.toString();com/google/javascript/rhino/Node.java;934;937
com.google.javascript.rhino$Node.toString(StringBuilder,boolean,boolean,boolean);com/google/javascript/rhino/Node.java;948;1007
com.google.javascript.rhino$Token.name(int);com/google/javascript/rhino/Token.java;180;284
