rank;signature;path;startLine;endLine;score
1;com.google.javascript.jscomp$TypeCheck.visitFunction(NodeTraversal,Node);com/google/javascript/jscomp/TypeCheck.java;1481;1549;1.0
2;com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder.checkForClassDefiningCalls(NodeTraversal,Node,Node);com/google/javascript/jscomp/TypedScopeCreator.java;1324;1401;0.9775492583045113
3;com.google.javascript.jscomp$TypeCheck.visitAssign(NodeTraversal,Node);com/google/javascript/jscomp/TypeCheck.java;824;954;0.9203521897102233
4;com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder.defineSlot(Node,Node,String,JSType,boolean);com/google/javascript/jscomp/TypedScopeCreator.java;1077;1226;0.9061972745340449
5;com.google.javascript.jscomp$NodeUtil.checkForStateChangeHelper(Node,boolean,AbstractCompiler);com/google/javascript/jscomp/NodeUtil.java;779;929;0.8925246474021257
755;com.google.javascript.jscomp.CallGraph$Function.getCallsitesInFunction();com/google/javascript/jscomp/CallGraph.java;660;669;0.39475327121281506
1587;com.google.javascript.rhino$Node.propToString(int);com/google/javascript/rhino/Node.java;116;149;0.19495800660275775
1720;com.google.javascript.jscomp.FunctionRewriter$Reduction.apply();com/google/javascript/jscomp/FunctionRewriter.java;136;142;0.18076166137087415
1985;com.google.javascript.rhino$Node.checkTreeEquals(Node);com/google/javascript/rhino/Node.java;1423;1437;0.14961430905231762
2016;com.google.javascript.jscomp$TypeInferencePass.inferTypes(Node);com/google/javascript/jscomp/TypeInferencePass.java;76;81;0.14614057331058278
2275;com.google.javascript.jscomp$AstValidator.validateName(Node);com/google/javascript/jscomp/AstValidator.java;338;342;0.12314947068625182
2583;com.google.javascript.rhino$Node.getSortedPropTypes();com/google/javascript/rhino/Node.java;878;892;0.10834854197630842
2819;com.google.javascript.rhino$Node.checkTreeEqualsImpl(Node);com/google/javascript/rhino/Node.java;1439;1463;0.10058266134006383
3812;com.google.javascript.jscomp$InlineObjectLiterals.process(Node,Node);com/google/javascript/jscomp/InlineObjectLiterals.java;63;68;0.06789715145304659
4151;com.google.javascript.rhino$Node.toStringTreeImpl();com/google/javascript/rhino/Node.java;1014;1022;0.051440515421149385
4251;com.google.javascript.rhino$Node.toString();com/google/javascript/rhino/Node.java;934;937;0.047357371652151335
4269;com.google.javascript.rhino$Node.toStringTree();com/google/javascript/rhino/Node.java;1010;1012;0.04698647252661255
4366;com.google.javascript.jscomp$SourceFile.toString();com/google/javascript/jscomp/SourceFile.java;301;304;0.04313863879972034
4391;com.google.javascript.rhino$InputId.toString();com/google/javascript/rhino/InputId.java;72;75;0.042830662986414844
4464;com.google.javascript.rhino$Node.appendStringTree(Appendable);com/google/javascript/rhino/Node.java;1024;1026;0.04193256675235197
