rank;signature;path;startLine;endLine;score
1;com.google.javascript.jscomp$TypeValidator.expectCanAssignToPropertyOf(NodeTraversal,Node,JSType,JSType,Node,String);com/google/javascript/jscomp/TypeValidator.java;350;389;0.8164965809277261
2;com.google.javascript.jscomp$TypeValidator.expectCanAssignTo(NodeTraversal,Node,JSType,JSType,String);com/google/javascript/jscomp/TypeValidator.java;391;413;0.5773502691896258
2;com.google.javascript.rhino.jstype$JSTypeRegistry.declareType(String,JSType);com/google/javascript/rhino/jstype/JSTypeRegistry.java;829;843;0.5773502691896258
4;com.google.javascript.rhino.jstype$EnumType.toStringHelper(boolean);com/google/javascript/rhino/jstype/EnumType.java;143;146;0.2581988897471611
5;com.google.javascript.jscomp.parsing$JsDocInfoParser.parseFunctionType(JsDocToken);com/google/javascript/jscomp/parsing/JsDocInfoParser.java;1811;1886;0.2182178902359924
6;com.google.javascript.jscomp$TypeValidator.expectUndeclaredVariable(String,CompilerInput,Node,Node,Var,String,JSType);com/google/javascript/jscomp/TypeValidator.java;512;586;0.20739033894608505
7;com.google.javascript.jscomp.Scope$Var.getInputName();com/google/javascript/jscomp/Scope.java;281;286;0.1849000654084097
8;com.google.javascript.jscomp$TypeValidator.registerMismatch(JSType,JSType,JSError);com/google/javascript/jscomp/TypeValidator.java;665;689;0.17496355305594127
9;com.google.javascript.jscomp$TypeValidator.registerIfMismatch(JSType,JSType,JSError);com/google/javascript/jscomp/TypeValidator.java;691;697;0.16666666666666666
10;com.google.javascript.rhino.jstype$EnumType.getConstructor();com/google/javascript/rhino/jstype/EnumType.java;158;161;0.13900960937138318
181;com.google.javascript.jscomp$TypeCheck.process(Node,Node);com/google/javascript/jscomp/TypeCheck.java;348;369;0.035143650394204265
612;com.google.javascript.rhino.jstype$FunctionType.setPrototypeBasedOn(ObjectType,Node);com/google/javascript/rhino/jstype/FunctionType.java;396;421;0.02300827296146186
1060;com.google.javascript.jscomp$TypeCheck.getTypedPercent();com/google/javascript/jscomp/TypeCheck.java;1957;1964;0.0
