rank;signature;path;startLine;endLine;score
1;com.google.javascript.jscomp$CodeGenerator.strEscape(String,char,String,String,String,CharsetEncoder);com/google/javascript/jscomp/CodeGenerator.java;987;1058;1.0
2;com.google.javascript.jscomp$CodeGenerator.appendHexJavaScriptRepresentation(StringBuilder,char);com/google/javascript/jscomp/CodeGenerator.java;1154;1165;0.9999829334061509
3;com.google.javascript.jscomp$CodeGenerator.appendHexJavaScriptRepresentation(int,Appendable);com/google/javascript/jscomp/CodeGenerator.java;1167;1192;0.9999658668123016
4;com.google.javascript.jscomp$Compiler.parseTestCode(String);com/google/javascript/jscomp/Compiler.java;1241;1251;0.9998634672492064
5;com.google.javascript.jscomp$CodeGenerator.add(Node,Context);com/google/javascript/jscomp/CodeGenerator.java;82;731;0.9996928013107144
6;com.google.javascript.jscomp$CodeGenerator.jsString(String,CharsetEncoder);com/google/javascript/jscomp/CodeGenerator.java;938;966;0.9996245349353176
7;com.google.javascript.jscomp$Compiler.initOptions(CompilerOptions);com/google/javascript/jscomp/Compiler.java;217;279;0.9994197358091272
8;com.google.javascript.jscomp$ComposeWarningsGuard.disables(DiagnosticGroup);com/google/javascript/jscomp/ComposeWarningsGuard.java;102;120;0.9993856026214288
9;com.google.javascript.jscomp$CompilerOptions.disables(DiagnosticGroup);com/google/javascript/jscomp/CompilerOptions.java;928;934;0.9992320032767861
10;com.google.javascript.jscomp$DiagnosticGroup.DiagnosticGroup(DiagnosticType);com/google/javascript/jscomp/DiagnosticGroup.java;56;62;0.9992149366829368
30;com.google.javascript.jscomp$NodeUtil.isLatin(String);com/google/javascript/jscomp/NodeUtil.java;2420;2430;0.9983616069904768
38;com.google.javascript.jscomp$CodeGenerator.CodeGenerator(CodeConsumer,Charset);com/google/javascript/jscomp/CodeGenerator.java;45;57;0.9975082772980168
337;com.google.javascript.jscomp$Compiler.getSourceLine(String,int);com/google/javascript/jscomp/Compiler.java;1807;1816;0.9603884356760077
412;com.google.javascript.jscomp$CompilerInput.regenerateDependencyInfoIfNecessary();com/google/javascript/jscomp/CompilerInput.java;166;212;0.9554391234597399
1726;com.google.javascript.jscomp$CoalesceVariableNames.enterScope(NodeTraversal);com/google/javascript/jscomp/CoalesceVariableNames.java;91;124;0.77100044373144
1783;com.google.javascript.jscomp$CommandLineRunner.initConfigFromFlags(String[],PrintStream);com/google/javascript/jscomp/CommandLineRunner.java;535;601;0.7461685496808547
1917;com.google.javascript.jscomp$DeadAssignmentsElimination.enterScope(NodeTraversal);com/google/javascript/jscomp/DeadAssignmentsElimination.java;69;99;0.7038263303409905
4623;com.google.javascript.jscomp.CodePrinter$PrettyCodePrinter.append(String);com/google/javascript/jscomp/CodePrinter.java;217;231;0.06683278151346554
4627;com.google.javascript.jscomp.CodePrinter$PrettyCodePrinter.endLine();com/google/javascript/jscomp/CodePrinter.java;262;265;0.06654264941802915
4638;com.google.javascript.jscomp.CodePrinter$PrettyCodePrinter.endFile();com/google/javascript/jscomp/CodePrinter.java;372;375;0.06579171928866437
