path,line,signature
org/apache/commons/codec/net/QuotedPrintableCodec.java,69,
org/apache/commons/codec/net/QuotedPrintableCodec.java,70,
org/apache/commons/codec/net/QuotedPrintableCodec.java,72,
org/apache/commons/codec/net/QuotedPrintableCodec.java,114,"org.apache.commons.codec.net$QuotedPrintableCodec.encodeQuotedPrintable(int,ByteArrayOutputStream)"
org/apache/commons/codec/net/QuotedPrintableCodec.java,119,"org.apache.commons.codec.net$QuotedPrintableCodec.encodeQuotedPrintable(int,ByteArrayOutputStream)"
org/apache/commons/codec/net/QuotedPrintableCodec.java,131,
org/apache/commons/codec/net/QuotedPrintableCodec.java,143,
org/apache/commons/codec/net/QuotedPrintableCodec.java,151,
org/apache/commons/codec/net/QuotedPrintableCodec.java,174,"org.apache.commons.codec.net$QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[])"
org/apache/commons/codec/net/QuotedPrintableCodec.java,176,"org.apache.commons.codec.net$QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[])"
org/apache/commons/codec/net/QuotedPrintableCodec.java,178,"org.apache.commons.codec.net$QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[])"
org/apache/commons/codec/net/QuotedPrintableCodec.java,186,"org.apache.commons.codec.net$QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[])"
org/apache/commons/codec/net/QuotedPrintableCodec.java,189,"org.apache.commons.codec.net$QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[])"
org/apache/commons/codec/net/QuotedPrintableCodec.java,194,"org.apache.commons.codec.net$QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[])"
org/apache/commons/codec/net/QuotedPrintableCodec.java,198,"org.apache.commons.codec.net$QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[])"
org/apache/commons/codec/net/QuotedPrintableCodec.java,199,"org.apache.commons.codec.net$QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[])"
org/apache/commons/codec/net/QuotedPrintableCodec.java,229,org.apache.commons.codec.net$QuotedPrintableCodec.decodeQuotedPrintable(byte[])
org/apache/commons/codec/net/QuotedPrintableCodec.java,235,org.apache.commons.codec.net$QuotedPrintableCodec.decodeQuotedPrintable(byte[])
