rank;signature;path;startLine;endLine;score
1;org.apache.commons.codec.language$DoubleMetaphone.cleanInput(String);org/apache/commons/codec/language/DoubleMetaphone.java;884;896;0.6324555320336759
2;org.apache.commons.codec.language$DoubleMetaphone.doubleMetaphone(String,boolean);org/apache/commons/codec/language/DoubleMetaphone.java;78;190;0.5345224838248488
3;org.apache.commons.codec.language$DoubleMetaphone.isDoubleMetaphoneEqual(String,String,boolean);org/apache/commons/codec/language/DoubleMetaphone.java;233;245;0.5
4;org.apache.commons.codec.language$DoubleMetaphone.DoubleMetaphone();org/apache/commons/codec/language/DoubleMetaphone.java;61;66;0.2886751345948129
5;org.apache.commons.codec$EncoderException.EncoderException();org/apache/commons/codec/EncoderException.java;36;44;0.0
5;org.apache.commons.codec$EncoderException.EncoderException(String);org/apache/commons/codec/EncoderException.java;46;55;0.0
5;org.apache.commons.codec$EncoderException.EncoderException(String,Throwable);org/apache/commons/codec/EncoderException.java;57;74;0.0
5;org.apache.commons.codec.language$DoubleMetaphone.encode(Object);org/apache/commons/codec/language/DoubleMetaphone.java;192;206;0.0
5;org.apache.commons.codec.language$DoubleMetaphone.encode(String);org/apache/commons/codec/language/DoubleMetaphone.java;208;217;0.0
5;org.apache.commons.codec.language$DoubleMetaphone.isDoubleMetaphoneEqual(String,String);org/apache/commons/codec/language/DoubleMetaphone.java;219;231;0.0
