corpus_id;path;startLine;endLine
org.apache.commons.codec.binary$CharSequenceUtils.regionMatches(CharSequence,boolean,int,CharSequence,int,int);org/apache/commons/codec/binary/CharSequenceUtils.java;32;78
org.apache.commons.codec.binary$StringUtils.equals(CharSequence,CharSequence);org/apache/commons/codec/binary/StringUtils.java;41;82
org.apache.commons.codec.binary$StringUtils.getBytes(String,Charset);org/apache/commons/codec/binary/StringUtils.java;84;98
org.apache.commons.codec.binary$StringUtils.getByteBuffer(String,Charset);org/apache/commons/codec/binary/StringUtils.java;100;115
org.apache.commons.codec.binary$StringUtils.getByteBufferUtf8(String);org/apache/commons/codec/binary/StringUtils.java;117;133
org.apache.commons.codec.binary$StringUtils.getBytesIso8859_1(String);org/apache/commons/codec/binary/StringUtils.java;135;151
org.apache.commons.codec.binary$StringUtils.getBytesUnchecked(String,String);org/apache/commons/codec/binary/StringUtils.java;154;182
org.apache.commons.codec.binary$StringUtils.getBytesUsAscii(String);org/apache/commons/codec/binary/StringUtils.java;184;200
org.apache.commons.codec.binary$StringUtils.getBytesUtf16(String);org/apache/commons/codec/binary/StringUtils.java;202;218
org.apache.commons.codec.binary$StringUtils.getBytesUtf16Be(String);org/apache/commons/codec/binary/StringUtils.java;220;236
org.apache.commons.codec.binary$StringUtils.newString(byte[],String);org/apache/commons/codec/binary/StringUtils.java;295;323
org.apache.commons.codec.digest$Sha2Crypt.sha2Crypt(byte[],String,String,int,String);org/apache/commons/codec/digest/Sha2Crypt.java;108;507
org.apache.commons.codec.language.bm$PhoneticEngine.applyFinalRules(PhonemeBuilder,Map<String,List<Rule>>);org/apache/commons/codec/language/bm/PhoneticEngine.java;321;374
org.apache.commons.codec.language.bm$Rule.isMatch(CharSequence);org/apache/commons/codec/language/bm/Rule.java;197;200
org.apache.commons.codec.language.bm$Rule.pattern(String);org/apache/commons/codec/language/bm/Rule.java;501;606
org.apache.commons.codec.language.bm$Rule.patternAndContextMatches(CharSequence,int);org/apache/commons/codec/language/bm/Rule.java;695;727
