rank;signature;path;startLine;endLine;score
1;org.apache.commons.codec.binary$StringUtils.equals(CharSequence,CharSequence);org/apache/commons/codec/binary/StringUtils.java;41;82;1.0
2;org.apache.commons.codec.language.bm$Rule.patternAndContextMatches(CharSequence,int);org/apache/commons/codec/language/bm/Rule.java;695;727;0.7350709794439454
3;org.apache.commons.codec.digest$Sha2Crypt.sha2Crypt(byte[],String,String,int,String);org/apache/commons/codec/digest/Sha2Crypt.java;108;507;0.5334855389678661
4;org.apache.commons.codec.language.bm$PhoneticEngine.applyFinalRules(PhonemeBuilder,Map<String,List<Rule>>);org/apache/commons/codec/language/bm/PhoneticEngine.java;321;374;0.4910249224927374
4;org.apache.commons.codec.language.bm$Rule.pattern(String);org/apache/commons/codec/language/bm/Rule.java;501;606;0.4910249224927374
6;org.apache.commons.codec.language.bm$Rule.isMatch(CharSequence);org/apache/commons/codec/language/bm/Rule.java;197;200;0.4168440844430889
7;org.apache.commons.codec.binary$CharSequenceUtils.regionMatches(CharSequence,boolean,int,CharSequence,int,int);org/apache/commons/codec/binary/CharSequenceUtils.java;32;78;0.3708683484988023
92;org.apache.commons.codec.binary$StringUtils.getBytesUnchecked(String,String);org/apache/commons/codec/binary/StringUtils.java;154;182;0.11839060732203861
92;org.apache.commons.codec.binary$StringUtils.newString(byte[],String);org/apache/commons/codec/binary/StringUtils.java;295;323;0.11839060732203861
182;org.apache.commons.codec.binary$StringUtils.getByteBuffer(String,Charset);org/apache/commons/codec/binary/StringUtils.java;100;115;0.04537676467109574
182;org.apache.commons.codec.binary$StringUtils.getByteBufferUtf8(String);org/apache/commons/codec/binary/StringUtils.java;117;133;0.04537676467109574
182;org.apache.commons.codec.binary$StringUtils.getBytes(String,Charset);org/apache/commons/codec/binary/StringUtils.java;84;98;0.04537676467109574
182;org.apache.commons.codec.binary$StringUtils.getBytesIso8859_1(String);org/apache/commons/codec/binary/StringUtils.java;135;151;0.04537676467109574
182;org.apache.commons.codec.binary$StringUtils.getBytesUsAscii(String);org/apache/commons/codec/binary/StringUtils.java;184;200;0.04537676467109574
182;org.apache.commons.codec.binary$StringUtils.getBytesUtf16(String);org/apache/commons/codec/binary/StringUtils.java;202;218;0.04537676467109574
182;org.apache.commons.codec.binary$StringUtils.getBytesUtf16Be(String);org/apache/commons/codec/binary/StringUtils.java;220;236;0.04537676467109574
