rank;signature;path;startLine;endLine;score
1;org.apache.commons.codec.binary$Base64.resizeBuf();org/apache/commons/codec/binary/Base64.java;336;347;1.0
2;org.apache.commons.codec.binary$Base64.Base64(int,byte[]);org/apache/commons/codec/binary/Base64.java;244;263;0.9983534577387486
3;org.apache.commons.codec.binary$Base64InputStream.read();org/apache/commons/codec/binary/Base64InputStream.java;95;110;0.9978046103183315
4;org.apache.commons.codec.binary$Base64.encode(byte[],int,int);org/apache/commons/codec/binary/Base64.java;398;473;0.9972557628979144
5;org.apache.commons.codec.binary$Base64.hasData();org/apache/commons/codec/binary/Base64.java;318;325;0.9961580680570802
6;org.apache.commons.codec.binary$Base64InputStream.read(byte[],int,int);org/apache/commons/codec/binary/Base64InputStream.java;112;154;0.9950603732162459
7;org.apache.commons.codec.binary$Base64InputStream.Base64InputStream(InputStream,boolean,int,byte[]);org/apache/commons/codec/binary/Base64InputStream.java;73;93;0.9895718990120747
9;org.apache.commons.codec.binary$Base64OutputStream.flush();org/apache/commons/codec/binary/Base64OutputStream.java;155;163;0.9846322722283205
10;org.apache.commons.codec.binary$Base64OutputStream.close();org/apache/commons/codec/binary/Base64OutputStream.java;165;178;0.9840834248079035
11;org.apache.commons.codec.binary$Base64OutputStream.Base64OutputStream(OutputStream,boolean,int,byte[]);org/apache/commons/codec/binary/Base64OutputStream.java;72;92;0.9818880351262349
29;org.apache.commons.codec.binary$Base64.decode(byte[]);org/apache/commons/codec/binary/Base64.java;643;652;0.9215148188803512
31;org.apache.commons.codec.binary$Base64.encodeBase64(byte[],boolean,boolean);org/apache/commons/codec/binary/Base64.java;669;715;0.920417124039517
43;org.apache.commons.codec.binary$Base64OutputStream.write(byte[],int,int);org/apache/commons/codec/binary/Base64OutputStream.java;102;130;0.8748627881448957
46;org.apache.commons.codec.binary$BinaryCodec.decode(Object);org/apache/commons/codec/binary/BinaryCodec.java;101;125;0.8660812294182217
49;org.apache.commons.codec.binary$BinaryCodec.fromAscii(char[]);org/apache/commons/codec/binary/BinaryCodec.java;159;184;0.8572996706915478
50;org.apache.commons.codec.binary$BinaryCodec.fromAscii(byte[]);org/apache/commons/codec/binary/BinaryCodec.java;186;211;0.8523600439077936
51;org.apache.commons.codec.binary$BinaryCodec.toAsciiBytes(byte[]);org/apache/commons/codec/binary/BinaryCodec.java;213;242;0.8474204171240395
