Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,4.0,4.0,0,0,0,1,1,0.2,46542,17024,1455,0.002066
Agent4LR-M1R1-M1R1-M2R1,3.0,3.0,0,0,1,1,1,0.13333333333333333,46542,17024,1455,0.003149
Agent4LR-M1R1-M1R1-M2R2,2.0,2.0,0,1,1,1,1,0.06666666666666667,46542,17024,1677,0.003593
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,46542,17024,2850,0.005939
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,46542,17024,1455,0.008562
Agent4LR-M1R1-M2R1-M1R1,4.0,4.0,0,0,0,1,1,0.2,32293,9856,1352,0.005744
Agent4LR-M1R1-M2R1-M2R1,5.0,5.0,0,0,0,0,1,0.26666666666666666,32293,8192,1352,0.006789
Agent4LR-M1R1-M2R2-M1R1,11.0,11.0,0,0,0,0,0,0.6666666666666666,27795,20096,1962,0.003979
Agent4LR-M1R1-M2R3-M1R1,5.0,5.0,0,0,0,0,1,0.26666666666666666,23375,15744,2510,0.004889
Agent4LR-M1R1-M3R1-M1R1,3.0,3.0,0,0,1,1,1,0.13333333333333333,31683,23296,1408,0.012336
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,31683,20224,1408,0.018064
Agent4LR-M2R1-M1R1-M1R1,11.0,11.0,0,0,0,0,0,0.6666666666666666,8539,1664,230,0.001029
Agent4LR-M2R1-M1R1-M2R1,11.0,11.0,0,0,0,0,0,0.6666666666666666,8539,3328,216,0.001174
Agent4LR-M2R1-M2R1-M1R1,11.0,11.0,0,0,0,0,0,0.6666666666666666,27250,17280,376,0.002913
Agent4LR-M2R1-M2R1-M2R1,11.0,11.0,0,0,0,0,0,0.6666666666666666,27250,17280,376,0.003677
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,27250,18944,893,0.004336
Agent4LR-M2R1-M2R1-M2R3,11.0,11.0,0,0,0,0,0,0.6666666666666666,27250,18944,1169,0.004888
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,27250,17280,376,0.007496
Agent4LR-M2R1-M2R2-M2R1,11.0,11.0,0,0,0,0,0,0.6666666666666666,23964,6144,828,0.006265
Agent4LR-M2R1-M2R3-M2R1,4.0,4.0,0,0,0,1,1,0.2,24165,15232,2390,0.007394
Agent4LR-M2R1-M3R1-M2R1,4.0,4.0,0,0,0,1,1,0.2,21219,9344,402,0.014981
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,21219,7680,402,0.018941
Agent4LR-M2R2-M1R1-M1R1,11.0,11.0,0,0,0,0,0,0.6666666666666666,13613,5504,352,0.001266
Agent4LR-M2R2-M1R1-M2R2,4.0,4.0,0,0,0,1,1,0.2,13613,3840,842,0.002912
Agent4LR-M2R2-M1R1-M2R3,2.0,2.0,0,1,1,1,1,0.06666666666666667,13613,3840,1303,0.003834
Agent4LR-M2R2-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,13613,3840,352,0.004849
Agent4LR-M2R2-M2R1-M2R1,4.0,4.0,0,0,0,1,1,0.2,20818,6656,410,0.004527
Agent4LR-M2R2-M2R2-M2R2,4.0,4.0,0,0,0,1,1,0.2,17038,5632,827,0.004646
Agent4LR-M2R2-M2R2-M2R3,1.0,1.0,1,1,1,1,1,0.0,17038,7296,2098,0.006814
Agent4LR-M2R2-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,17038,5632,687,0.007668
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,21166,15360,480,0.010390
Agent4LR-M2R3-M1R1-M1R1,11.0,11.0,0,0,0,0,0,0.6666666666666666,33922,21760,632,0.001700
Agent4LR-M2R3-M2R1-M2R1,3.0,3.0,0,0,1,1,1,0.13333333333333333,20814,8320,507,0.004346
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,20466,10880,1740,0.006148
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,14620,9984,477,0.007674
Agent4LR-M3R1-M1R1-M1R1,11.0,11.0,0,0,0,0,0,0.6666666666666666,10645,4992,960,0.010964
Agent4LR-M3R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,10645,5120,960,0.013158
Agent4LR-M3R1-M2R1-M2R1,11.0,11.0,0,0,0,0,0,0.6666666666666666,25863,12288,1062,0.014404
Agent4LR-M3R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,25863,13184,1062,0.016365
Agent4LR-M3R1-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,14527,8576,1152,0.014063
Agent4LR-M3R1-M2R3-M3R1,1.0,1.0,1,1,1,1,1,0.0,26255,17920,1855,0.016228
Agent4LR-M3R1-M3R1-M1R1,3.0,3.0,0,0,1,1,1,0.13333333333333333,18475,11392,1032,0.018474
Agent4LR-M3R1-M3R1-M2R1,11.0,11.0,0,0,0,0,0,0.6666666666666666,18475,8832,1032,0.019414
Agent4LR-M3R1-M3R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,18475,8832,1173,0.019696
Agent4LR-M3R1-M3R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,18475,8832,1847,0.021044
Agent4LR-M3R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,18475,8832,1032,0.023478
