rank;signature;path;startLine;endLine;score
1;org.apache.commons.collections.collection$AbstractSerializableCollectionDecorator.AbstractSerializableCollectionDecorator(Collection);org/apache/commons/collections/collection/AbstractSerializableCollectionDecorator.java;38;43;1.0
2;org.apache.commons.collections.functors$PrototypeFactory.getInstance(Object);org/apache/commons/collections/functors/PrototypeFactory.java;41;81;0.8914664613547091
3;org.apache.commons.collections.list$AbstractSerializableListDecorator.AbstractSerializableListDecorator(List);org/apache/commons/collections/list/AbstractSerializableListDecorator.java;39;44;0.8749284736204742
3;org.apache.commons.collections.set$AbstractSerializableSetDecorator.AbstractSerializableSetDecorator(Set);org/apache/commons/collections/set/AbstractSerializableSetDecorator.java;39;44;0.8749284736204742
5;org.apache.commons.collections.functors.PrototypeFactory$PrototypeSerializationFactory.PrototypeSerializationFactory(Serializable);org/apache/commons/collections/functors/PrototypeFactory.java;162;168;0.8639652459379041
17;org.apache.commons.collections.map$MultiValueMap.MultiValueMap(Map,Factory);org/apache/commons/collections/map/MultiValueMap.java;119;132;0.3880572948915608
40;org.apache.commons.collections.map$MultiValueMap.MultiValueMap();org/apache/commons/collections/map/MultiValueMap.java;111;117;0.2607358665304167
70;org.apache.commons.collections.map$MultiValueMap.put(Object,Object);org/apache/commons/collections/map/MultiValueMap.java;228;253;0.23527362934447676
73;org.apache.commons.collections.map$MultiValueMap.getCollection(Object);org/apache/commons/collections/map/MultiValueMap.java;309;318;0.2330326632653785
199;org.apache.commons.collections.map$MultiValueMap.createCollection(int);org/apache/commons/collections/map/MultiValueMap.java;391;403;0.14537759255211477
333;org.apache.commons.collections.map$MultiValueMap.readObject(ObjectInputStream);org/apache/commons/collections/map/MultiValueMap.java;147;158;0.1260756066369685
417;org.apache.commons.collections.map$AbstractHashedMap.doWriteObject(ObjectOutputStream);org/apache/commons/collections/map/AbstractHashedMap.java;1157;1184;0.12006191542190942
508;org.apache.commons.collections.map$MultiValueMap.writeObject(ObjectOutputStream);org/apache/commons/collections/map/MultiValueMap.java;135;145;0.11106413190827863
853;org.apache.commons.collections.map$AbstractMapDecorator.AbstractMapDecorator(Map);org/apache/commons/collections/map/AbstractMapDecorator.java;55;66;0.0923433252184521
1047;org.apache.commons.collections.map$AbstractMapDecorator.getMap();org/apache/commons/collections/map/AbstractMapDecorator.java;68;75;0.08352620232442533
1223;org.apache.commons.collections.map$AbstractMapDecorator.AbstractMapDecorator();org/apache/commons/collections/map/AbstractMapDecorator.java;47;53;0.06009388755707367
1356;org.apache.commons.collections.map$AbstractHashedMap.doReadObject(ObjectInputStream);org/apache/commons/collections/map/AbstractHashedMap.java;1186;1216;0.05733753476224649
2132;org.apache.commons.collections.map.MultiValueMap$ReflectionFactory.create();org/apache/commons/collections/map/MultiValueMap.java;467;473;0.03784155093247316
2367;org.apache.commons.collections.map.MultiValueMap$ReflectionFactory.ReflectionFactory(Class);org/apache/commons/collections/map/MultiValueMap.java;463;465;0.0
