Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,5.0,9.0,0,0,0,0,1,0.6111111111111112,10952,2176,605,0.000682
Agent4LR-M1R1-M1R1-M2R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,10952,2176,605,0.001097
Agent4LR-M1R1-M1R1-M2R2,13.0,13.0,0,0,0,0,0,0.6111111111111112,10952,2176,803,0.001493
Agent4LR-M1R1-M1R1-M2R3,13.0,13.0,0,0,0,0,0,0.6111111111111112,10952,2176,1022,0.001931
Agent4LR-M1R1-M1R1-M3R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,10952,2176,605,0.003175
Agent4LR-M1R1-M2R1-M1R1,5.0,9.0,0,0,0,0,1,0.6111111111111112,21203,0,665,0.005304
Agent4LR-M1R1-M2R1-M2R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,21203,0,665,0.005890
Agent4LR-M1R1-M2R2-M1R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,13274,3712,979,0.003448
Agent4LR-M1R1-M2R3-M1R1,5.0,9.0,0,0,0,0,1,0.6111111111111112,13232,3968,2546,0.006313
Agent4LR-M1R1-M3R1-M1R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,11143,6016,633,0.006509
Agent4LR-M1R1-M3R1-M3R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,11143,6016,633,0.009047
Agent4LR-M2R1-M1R1-M1R1,4.0,8.5,0,0,0,1,1,0.6111111111111112,18704,1408,798,0.002173
Agent4LR-M2R1-M1R1-M2R1,5.0,9.0,0,0,0,0,1,0.6111111111111112,18704,1408,784,0.002661
Agent4LR-M2R1-M2R1-M1R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,21993,10112,801,0.004264
Agent4LR-M2R1-M2R1-M2R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,21993,10112,815,0.004853
Agent4LR-M2R1-M2R1-M2R2,13.0,13.0,0,0,0,0,0,0.6111111111111112,21993,10112,1061,0.005345
Agent4LR-M2R1-M2R1-M2R3,13.0,13.0,0,0,0,0,0,0.6111111111111112,21993,10112,1281,0.005785
Agent4LR-M2R1-M2R1-M3R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,21993,10112,815,0.007769
Agent4LR-M2R1-M2R2-M2R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,19302,4736,1217,0.006194
Agent4LR-M2R1-M2R3-M2R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,12294,0,2710,0.008493
Agent4LR-M2R1-M3R1-M2R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,16361,4224,846,0.016763
Agent4LR-M2R1-M3R1-M3R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,16361,4224,846,0.019216
Agent4LR-M2R2-M1R1-M1R1,2.0,3.5,0,1,1,1,1,0.16666666666666666,5405,0,540,0.001273
Agent4LR-M2R2-M1R1-M2R2,13.0,13.0,0,0,0,0,0,0.6111111111111112,5405,0,661,0.001844
Agent4LR-M2R2-M1R1-M2R3,13.0,13.0,0,0,0,0,0,0.6111111111111112,5405,0,1088,0.002698
Agent4LR-M2R2-M1R1-M3R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,5405,0,540,0.003245
Agent4LR-M2R2-M2R1-M2R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,18939,1408,675,0.005768
Agent4LR-M2R2-M2R2-M2R2,13.0,13.0,0,0,0,0,0,0.6111111111111112,19019,4864,982,0.005624
Agent4LR-M2R2-M2R2-M2R3,13.0,13.0,0,0,0,0,0,0.6111111111111112,19019,4864,1316,0.006292
Agent4LR-M2R2-M2R2-M3R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,19019,4864,675,0.007676
Agent4LR-M2R2-M3R1-M3R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,12237,4736,698,0.013013
Agent4LR-M2R3-M1R1-M1R1,2.0,3.5,0,1,1,1,1,0.16666666666666666,6389,0,1599,0.003440
Agent4LR-M2R3-M2R1-M2R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,21337,3200,1776,0.008166
Agent4LR-M2R3-M2R3-M2R3,13.0,13.0,0,0,0,0,0,0.6111111111111112,12236,0,4215,0.011489
Agent4LR-M2R3-M3R1-M3R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,12046,5248,1721,0.013957
Agent4LR-M3R1-M1R1-M1R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,6429,2304,650,0.006245
Agent4LR-M3R1-M1R1-M3R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,6429,2304,650,0.008524
Agent4LR-M3R1-M2R1-M2R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,21323,0,804,0.011754
Agent4LR-M3R1-M2R1-M3R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,21323,1152,804,0.013165
Agent4LR-M3R1-M2R2-M3R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,18862,7936,1075,0.012529
Agent4LR-M3R1-M2R3-M3R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,16440,7552,3745,0.015835
Agent4LR-M3R1-M3R1-M1R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,10152,3712,736,0.014521
Agent4LR-M3R1-M3R1-M2R1,13.0,13.0,0,0,0,0,0,0.6111111111111112,10152,2560,736,0.015010
Agent4LR-M3R1-M3R1-M2R2,13.0,13.0,0,0,0,0,0,0.6111111111111112,10152,2560,882,0.015302
