corpus_id;path;startLine;endLine
org.apache.commons.collections.CollectionUtils$SetOperationCardinalityHelper.SetOperationCardinalityHelper(Iterable<? extends O>,Iterable<? extends O>);org/apache/commons/collections/CollectionUtils.java;145;157
org.apache.commons.collections$ListUtils.isEqualList(Collection<?>,Collection<?>);org/apache/commons/collections/ListUtils.java;206;258
org.apache.commons.collections.collection$AbstractCollectionDecorator.size();org/apache/commons/collections/collection/AbstractCollectionDecorator.java;112;114
org.apache.commons.collections.comparators$ComparableComparator.compare(E,E);org/apache/commons/collections/comparators/ComparableComparator.java;78;93
org.apache.commons.collections.comparators$FixedOrderComparator.compare(T,T);org/apache/commons/collections/comparators/FixedOrderComparator.java;213;247
org.apache.commons.collections.comparators$ReverseComparator.compare(E,E);org/apache/commons/collections/comparators/ReverseComparator.java;69;78
org.apache.commons.collections.list$AbstractListDecorator.add(int,E);org/apache/commons/collections/list/AbstractListDecorator.java;70;72
org.apache.commons.collections.list$AbstractListDecorator.get(int);org/apache/commons/collections/list/AbstractListDecorator.java;78;80
org.apache.commons.collections.list$AbstractListDecorator.indexOf(Object);org/apache/commons/collections/list/AbstractListDecorator.java;82;84
org.apache.commons.collections.list$AbstractListDecorator.set(int,E);org/apache/commons/collections/list/AbstractListDecorator.java;102;104
org.apache.commons.collections.list$SetUniqueList.asSet();org/apache/commons/collections/list/SetUniqueList.java;110;117
org.apache.commons.collections.list$SetUniqueList.add(E);org/apache/commons/collections/list/SetUniqueList.java;120;141
org.apache.commons.collections.list$SetUniqueList.add(int,E);org/apache/commons/collections/list/SetUniqueList.java;143;163
org.apache.commons.collections.list$SetUniqueList.set(int,E);org/apache/commons/collections/list/SetUniqueList.java;213;239
org.apache.commons.collections.list$SetUniqueList.contains(Object);org/apache/commons/collections/list/SetUniqueList.java;295;298
org.apache.commons.collections.list$SetUniqueList.SetUniqueList(List<E>,Set<E>);org/apache/commons/collections/list/SetUniqueList.java;88;107
