rank;signature;path;startLine;endLine;score
1;org.apache.commons.collections4.trie$UnmodifiableTrie.unmodifiableTrie(Trie<K,? extends V>);org/apache/commons/collections4/trie/UnmodifiableTrie.java;45;56;1.0
2;org.apache.commons.collections4.trie$UnmodifiableTrie.UnmodifiableTrie(Trie<K,? extends V>);org/apache/commons/collections4/trie/UnmodifiableTrie.java;59;72;0.9999274099883856
3;org.apache.commons.collections4.trie$UnmodifiableTrie.entrySet();org/apache/commons/collections4/trie/UnmodifiableTrie.java;76;78;0.999637049941928
4;org.apache.commons.collections4.trie$AbstractPatriciaTrie.size();org/apache/commons/collections4/trie/AbstractPatriciaTrie.java;102;105;0.9995644599303136
5;org.apache.commons.collections4.trie$AbstractPatriciaTrie.AbstractPatriciaTrie(KeyAnalyzer<? super K>);org/apache/commons/collections4/trie/AbstractPatriciaTrie.java;71;73;0.9994918699186992
6;org.apache.commons.collections4.trie$AbstractBitwiseTrie.AbstractBitwiseTrie(KeyAnalyzer<? super K>);org/apache/commons/collections4/trie/AbstractBitwiseTrie.java;43;54;0.9994192799070848
7;org.apache.commons.collections4.trie$AbstractPatriciaTrie.entrySet();org/apache/commons/collections4/trie/AbstractPatriciaTrie.java;391;397;0.9992015098722415
8;org.apache.commons.collections4.trie$AbstractPatriciaTrie.nextEntry(TrieEntry<K,V>);org/apache/commons/collections4/trie/AbstractPatriciaTrie.java;608;618;0.9989837398373984
9;org.apache.commons.collections4.trie$AbstractPatriciaTrie.firstEntry();org/apache/commons/collections4/trie/AbstractPatriciaTrie.java;742;755;0.9988385598141696
10;org.apache.commons.collections4.trie$PatriciaTrie.PatriciaTrie();org/apache/commons/collections4/trie/PatriciaTrie.java;62;64;0.9986933797909407
44;org.apache.commons.collections4.trie$UnmodifiableTrie.mapIterator();org/apache/commons/collections4/trie/UnmodifiableTrie.java;153;156;0.9895470383275261
58;org.apache.commons.collections4$TrieUtils.unmodifiableTrie(Trie<K,? extends V>);org/apache/commons/collections4/TrieUtils.java;34;46;0.9871515679442509
63;org.apache.commons.collections4.trie$AbstractBitwiseTrie.castKey(Object);org/apache/commons/collections4/trie/AbstractBitwiseTrie.java;75;81;0.9866434378629501
84;org.apache.commons.collections4.trie$AbstractPatriciaTrie.removeExternalEntry(TrieEntry<K,V>);org/apache/commons/collections4/trie/AbstractPatriciaTrie.java;495;524;0.9746660859465738
220;org.apache.commons.collections4$FactoryUtils.prototypeFactory(T);org/apache/commons/collections4/FactoryUtils.java;87;107;0.916739256678281
2622;org.apache.commons.collections4.trie.AbstractPatriciaTrie$TrieIterator.findNext(TrieEntry<K,V>);org/apache/commons/collections4/trie/AbstractPatriciaTrie.java;1582;1587;0.012195121951219513
