path,line,signature
org/apache/commons/collections/ExtendedProperties.java,643,org.apache.commons.collections$ExtendedProperties.getProperty(String)
org/apache/commons/collections/ExtendedProperties.java,709,"org.apache.commons.collections$ExtendedProperties.addPropertyDirect(String,Object)"
org/apache/commons/collections/ExtendedProperties.java,731,"org.apache.commons.collections$ExtendedProperties.addPropertyInternal(String,Object)"
org/apache/commons/collections/ExtendedProperties.java,742,"org.apache.commons.collections$ExtendedProperties.addPropertyInternal(String,Object)"
org/apache/commons/collections/ExtendedProperties.java,835,org.apache.commons.collections$ExtendedProperties.clearProperty(String)
org/apache/commons/collections/ExtendedProperties.java,1094,"org.apache.commons.collections$ExtendedProperties.getVector(String,Vector)"
org/apache/commons/collections/ExtendedProperties.java,1146,"org.apache.commons.collections$ExtendedProperties.getList(String,List)"
org/apache/commons/collections/ExtendedProperties.java,1212,"org.apache.commons.collections$ExtendedProperties.getBoolean(String,Boolean)"
org/apache/commons/collections/ExtendedProperties.java,1306,"org.apache.commons.collections$ExtendedProperties.getByte(String,Byte)"
org/apache/commons/collections/ExtendedProperties.java,1376,"org.apache.commons.collections$ExtendedProperties.getShort(String,Short)"
org/apache/commons/collections/ExtendedProperties.java,1474,"org.apache.commons.collections$ExtendedProperties.getInteger(String,Integer)"
org/apache/commons/collections/ExtendedProperties.java,1544,"org.apache.commons.collections$ExtendedProperties.getLong(String,Long)"
org/apache/commons/collections/ExtendedProperties.java,1614,"org.apache.commons.collections$ExtendedProperties.getFloat(String,Float)"
org/apache/commons/collections/ExtendedProperties.java,1684,"org.apache.commons.collections$ExtendedProperties.getDouble(String,Double)"
org/apache/commons/collections/ExtendedProperties.java,1725,
org/apache/commons/collections/ExtendedProperties.java,1755,
