Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,11.5,11.5,0,0,0,0,0,0.65625,8851,2176,730,0.000627
Agent4LR-M1R1-M1R1-M2R1,4.0,4.0,0,0,0,1,1,0.1875,8851,2176,730,0.001196
Agent4LR-M1R1-M1R1-M2R2,4.0,4.0,0,0,0,1,1,0.1875,8851,2176,936,0.001608
Agent4LR-M1R1-M1R1-M2R3,5.0,5.0,0,0,0,0,1,0.25,8851,2176,1196,0.002128
Agent4LR-M1R1-M1R1-M3R1,2.0,2.0,0,1,1,1,1,0.0625,8851,2176,730,0.004040
Agent4LR-M1R1-M2R1-M1R1,11.5,11.5,0,0,0,0,0,0.65625,43943,13952,948,0.007647
Agent4LR-M1R1-M2R1-M2R1,4.0,4.0,0,0,0,1,1,0.1875,43943,12416,948,0.008757
Agent4LR-M1R1-M2R2-M1R1,5.0,5.0,0,0,0,0,1,0.25,30015,18688,1230,0.004062
Agent4LR-M1R1-M2R3-M1R1,11.5,11.5,0,0,0,0,0,0.65625,34640,23424,2117,0.005886
Agent4LR-M1R1-M3R1-M1R1,4.0,4.0,0,0,0,1,1,0.1875,25756,14592,888,0.013929
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,25756,12032,888,0.019549
Agent4LR-M2R1-M1R1-M1R1,11.5,11.5,0,0,0,0,0,0.65625,8873,3456,543,0.001498
Agent4LR-M2R1-M1R1-M2R1,5.0,5.0,0,0,0,0,1,0.25,8873,5120,543,0.001715
Agent4LR-M2R1-M2R1-M1R1,11.0,11.0,0,0,0,0,0,0.625,41419,20736,732,0.006160
Agent4LR-M2R1-M2R1-M2R1,5.0,5.0,0,0,0,0,1,0.25,41419,20736,732,0.007153
Agent4LR-M2R1-M2R1-M2R2,5.0,5.0,0,0,0,0,1,0.25,41419,20736,893,0.007475
Agent4LR-M2R1-M2R1-M2R3,5.0,5.0,0,0,0,0,1,0.25,41419,20736,1063,0.007815
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,41419,22272,732,0.010390
Agent4LR-M2R1-M2R2-M2R1,5.0,5.0,0,0,0,0,1,0.25,32135,11392,864,0.007199
Agent4LR-M2R1-M2R3-M2R1,5.0,5.0,0,0,0,0,1,0.25,19740,5760,1355,0.006349
Agent4LR-M2R1-M3R1-M2R1,5.0,5.0,0,0,0,0,1,0.25,24336,14848,672,0.013440
Agent4LR-M2R1-M3R1-M3R1,4.0,4.0,0,0,0,1,1,0.1875,24336,12160,672,0.018418
Agent4LR-M2R2-M1R1-M1R1,11.5,11.5,0,0,0,0,0,0.65625,7288,1536,318,0.001088
Agent4LR-M2R2-M1R1-M2R2,5.0,5.0,0,0,0,0,1,0.25,7288,0,524,0.002041
Agent4LR-M2R2-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,7288,0,1203,0.003399
Agent4LR-M2R2-M1R1-M3R1,2.0,2.0,0,1,1,1,1,0.0625,7288,0,318,0.003952
Agent4LR-M2R2-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.0625,26145,3200,442,0.006700
Agent4LR-M2R2-M2R2-M2R2,5.0,5.0,0,0,0,0,1,0.25,29667,7168,1162,0.008128
Agent4LR-M2R2-M2R2-M2R3,5.0,5.0,0,0,0,0,1,0.25,29667,8832,1420,0.008270
Agent4LR-M2R2-M2R2-M3R1,4.0,4.0,0,0,0,1,1,0.1875,29667,7168,920,0.011963
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,25868,18432,512,0.013357
Agent4LR-M2R3-M1R1-M1R1,11.5,11.5,0,0,0,0,0,0.65625,12405,6272,1141,0.002675
Agent4LR-M2R3-M2R1-M2R1,4.0,4.0,0,0,0,1,1,0.1875,32049,6528,1251,0.009045
Agent4LR-M2R3-M2R3-M2R3,11.5,11.5,0,0,0,0,0,0.65625,20399,1664,2952,0.010629
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,21749,14720,1213,0.013210
Agent4LR-M3R1-M1R1-M1R1,11.5,11.5,0,0,0,0,0,0.65625,12367,7552,843,0.009176
Agent4LR-M3R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,12367,7552,843,0.011503
Agent4LR-M3R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,33747,3968,939,0.016584
Agent4LR-M3R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,33747,5504,939,0.019759
Agent4LR-M3R1-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,25999,13824,1002,0.017193
Agent4LR-M3R1-M2R3-M3R1,1.0,1.0,1,1,1,1,1,0.0,39721,28800,2394,0.018034
Agent4LR-M3R1-M3R1-M1R1,11.5,11.5,0,0,0,0,0,0.65625,25415,12416,951,0.021907
Agent4LR-M3R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,25415,12416,951,0.022808
Agent4LR-M3R1-M3R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,25415,12416,1415,0.023736
Agent4LR-M3R1-M3R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,25415,12416,1431,0.023768
Agent4LR-M3R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,25415,12416,951,0.027311
