rank;signature;path;startLine;endLine;score
1;org.apache.commons.compress.archivers$ArchiveStreamFactory.createArchiveInputStream(InputStream);org/apache/commons/compress/archivers/ArchiveStreamFactory.java;187;257;1.0
2;org.apache.commons.compress.archivers.tar$TarBuffer.readBlock();org/apache/commons/compress/archivers/tar/TarBuffer.java;212;271;0.9813378760481793
3;org.apache.commons.compress.archivers.zip$ZipFile.readCentralDirectoryEntry(Map<ZipArchiveEntry,NameAndComment>);org/apache/commons/compress/archivers/zip/ZipFile.java;424;515;0.9582396650485655
4;org.apache.commons.compress.archivers.zip$ZipArchiveInputStream.getNextZipEntry();org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java;166;248;0.9005869767995482
5;org.apache.commons.compress.archivers.tar$TarArchiveOutputStream.putArchiveEntry(ArchiveEntry);org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java;197;266;0.8706838815990142
7;org.apache.commons.compress.archivers$ArchiveStreamFactory.createArchiveInputStream(String,InputStream);org/apache/commons/compress/archivers/ArchiveStreamFactory.java;107;148;0.8062279453212765
8;org.apache.commons.compress.archivers.tar$TarArchiveEntry.TarArchiveEntry();org/apache/commons/compress/archivers/tar/TarArchiveEntry.java;177;197;0.7700337733273718
10;org.apache.commons.compress.archivers.tar$TarArchiveInputStream.getNextTarEntry();org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java;159;238;0.7367934344005228
28;org.apache.commons.compress.archivers.tar$TarArchiveInputStream.getNextEntry();org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java;393;396;0.6286222827799945
30;org.apache.commons.compress.archivers.tar$TarArchiveEntry.TarArchiveEntry(byte[]);org/apache/commons/compress/archivers/tar/TarArchiveEntry.java;305;315;0.6213721490619514
32;org.apache.commons.compress.archivers.tar$TarArchiveEntry.equals(Object);org/apache/commons/compress/archivers/tar/TarArchiveEntry.java;328;341;0.5951910747947892
76;org.apache.commons.compress.archivers.tar$TarArchiveEntry.parseTarHeader(byte[]);org/apache/commons/compress/archivers/tar/TarArchiveEntry.java;800;866;0.445280730165604
320;org.apache.commons.compress.archivers.tar$TarUtils.parseOctal(byte[],int,int);org/apache/commons/compress/archivers/tar/TarUtils.java;35;107;0.16700074691539185
337;org.apache.commons.compress.archivers.tar$TarUtils.parseOctalOrBinary(byte[],int,int);org/apache/commons/compress/archivers/tar/TarUtils.java;109;143;0.1487760890054437
502;org.apache.commons.compress.archivers.tar$TarUtils.exceptionMessage(byte[],int,int,int,byte);org/apache/commons/compress/archivers/tar/TarUtils.java;160;166;0.051005089685491285
523;org.apache.commons.compress.archivers.tar$TarArchiveInputStream.getRecord();org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java;240;266;0.040615297876441754
751;org.apache.commons.compress.archivers.tar$TarBuffer.getRecordSize();org/apache/commons/compress/archivers/tar/TarBuffer.java;142;148;0.0
