rank;signature;path;startLine;endLine;score
1;org.apache.commons.compress.archivers.tar$TarUtils.exceptionMessage(byte[],int,int,int,byte);org/apache/commons/compress/archivers/tar/TarUtils.java;160;166;1.0
1;org.apache.commons.compress.archivers.tar$TarUtils.parseOctal(byte[],int,int);org/apache/commons/compress/archivers/tar/TarUtils.java;35;107;1.0
3;org.apache.commons.compress.archivers$ArchiveStreamFactory.createArchiveInputStream(String,InputStream);org/apache/commons/compress/archivers/ArchiveStreamFactory.java;107;148;0.4082482904638631
4;org.apache.commons.compress.archivers.tar$TarArchiveInputStream.getNextEntry();org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java;393;396;0.30151134457776363
5;org.apache.commons.compress.archivers.tar$TarArchiveEntry.TarArchiveEntry(byte[]);org/apache/commons/compress/archivers/tar/TarArchiveEntry.java;305;315;0.23570226039551587
5;org.apache.commons.compress.archivers.tar$TarArchiveEntry.parseTarHeader(byte[]);org/apache/commons/compress/archivers/tar/TarArchiveEntry.java;800;866;0.23570226039551587
5;org.apache.commons.compress.archivers.tar$TarArchiveInputStream.getNextTarEntry();org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java;159;238;0.23570226039551587
5;org.apache.commons.compress.archivers.tar$TarArchiveInputStream.getRecord();org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java;240;266;0.23570226039551587
5;org.apache.commons.compress.archivers.tar$TarBuffer.getRecordSize();org/apache/commons/compress/archivers/tar/TarBuffer.java;142;148;0.23570226039551587
5;org.apache.commons.compress.archivers.tar$TarBuffer.readBlock();org/apache/commons/compress/archivers/tar/TarBuffer.java;212;271;0.23570226039551587
5;org.apache.commons.compress.archivers.tar$TarUtils.parseOctalOrBinary(byte[],int,int);org/apache/commons/compress/archivers/tar/TarUtils.java;109;143;0.23570226039551587
19;org.apache.commons.compress.archivers.tar$TarArchiveEntry.TarArchiveEntry();org/apache/commons/compress/archivers/tar/TarArchiveEntry.java;177;197;0.18257418583505536
20;org.apache.commons.compress.archivers$ArchiveStreamFactory.createArchiveInputStream(InputStream);org/apache/commons/compress/archivers/ArchiveStreamFactory.java;187;257;0.0
20;org.apache.commons.compress.archivers.tar$TarArchiveEntry.equals(Object);org/apache/commons/compress/archivers/tar/TarArchiveEntry.java;328;341;0.0
20;org.apache.commons.compress.archivers.tar$TarArchiveOutputStream.putArchiveEntry(ArchiveEntry);org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java;197;266;0.0
20;org.apache.commons.compress.archivers.zip$ZipArchiveInputStream.getNextZipEntry();org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java;166;248;0.0
