rank;signature;path;startLine;endLine;score
1;org.apache.commons.compress.archivers.sevenz$SevenZOutputFile.write(byte[]);org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java;158;165;1.0
2;org.apache.commons.compress.archivers.sevenz$SevenZOutputFile.closeArchiveEntry();org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java;118;147;0.9999174236168455
3;org.apache.commons.compress.archivers.sevenz$SevenZOutputFile.createArchiveEntry(File,String);org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java;86;102;0.999587118084228
4;org.apache.commons.compress.archivers.sevenz$SevenZOutputFile.write(byte[],int,int);org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java;167;178;0.999421965317919
5;org.apache.commons.compress.archivers.sevenz$SevenZOutputFile.close();org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java;74;84;0.9993393889347647
6;org.apache.commons.compress.archivers.sevenz$SevenZFile.SevenZFile(File,byte[]);org/apache/commons/compress/archivers/sevenz/SevenZFile.java;81;107;0.999009083402147
7;org.apache.commons.compress.archivers.sevenz$SevenZOutputFile.writeUint64(DataOutput,long);org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java;615;632;0.9989265070189925
8;org.apache.commons.compress.archivers.sevenz$SevenZOutputFile.writeBits(DataOutput,BitSet,int);org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java;634;649;0.9986787778695293
9;org.apache.commons.compress.archivers.sevenz$SevenZOutputFile.writeFileEmptyFiles(DataOutput);org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java;410;431;0.998431048720066
10;org.apache.commons.compress.archivers.sevenz$SevenZOutputFile.writeFileMTimes(DataOutput);org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java;544;578;0.9977704376548308
15;org.apache.commons.compress.archivers.sevenz$SevenZFile.readFilesInfo(DataInput,Archive);org/apache/commons/compress/archivers/sevenz/SevenZFile.java;588;741;0.9956234516928159
16;org.apache.commons.compress.archivers.sevenz$SevenZOutputFile.writeFileEmptyStreams(DataOutput);org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java;386;408;0.9955408753096614
37;org.apache.commons.compress.archivers.sevenz$SevenZFile.readHeaders(byte[]);org/apache/commons/compress/archivers/sevenz/SevenZFile.java;154;203;0.9886870355078448
39;org.apache.commons.compress.archivers.sevenz$SevenZFile.readHeader(DataInput,Archive);org/apache/commons/compress/archivers/sevenz/SevenZFile.java;222;248;0.9860445912469034
40;org.apache.commons.compress.archivers.sevenz$SevenZFile.readStreamsInfo(DataInput,Archive);org/apache/commons/compress/archivers/sevenz/SevenZFile.java;294;318;0.9853839801816681
41;org.apache.commons.compress.archivers.sevenz$SevenZFile.readSubStreamsInfo(DataInput,Archive);org/apache/commons/compress/archivers/sevenz/SevenZFile.java;397;478;0.9848059454995871
81;org.apache.commons.compress.archivers.sevenz$SevenZOutputFile.writeUnpackInfo(DataOutput);org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java;309;335;0.9559042113955408
457;org.apache.commons.compress.archivers.dump$DumpArchiveInputStream.getNextEntry();org/apache/commons/compress/archivers/dump/DumpArchiveInputStream.java;219;313;0.6800165152766309
1055;org.apache.commons.compress.archivers.zip$ZipFile.populateFromCentralDirectory();org/apache/commons/compress/archivers/zip/ZipFile.java;475;507;0.29372419488026424
1123;org.apache.commons.compress.changes$ChangeSetPerformer.isDeletedLater(Set<Change>,ArchiveEntry);org/apache/commons/compress/changes/ChangeSetPerformer.java;178;204;0.24690338563170933
