corpus_id;path;startLine;endLine
org.apache.commons.compress.archivers.arj$ArjArchiveEntry.getLastModifiedDate();org/apache/commons/compress/archivers/arj/ArjArchiveEntry.java;77;97
org.apache.commons.compress.archivers.zip$BitStream.nextBit();org/apache/commons/compress/archivers/zip/BitStream.java;39;46
org.apache.commons.compress.archivers.zip$X7875_NewUnix.trimLeadingZeroesForceMinLength(byte[]);org/apache/commons/compress/archivers/zip/X7875_NewUnix.java;286;352
org.apache.commons.compress.archivers.zip$ZipArchiveEntry.setUnixMode(int);org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java;263;277
org.apache.commons.compress.archivers.zip$ZipArchiveEntry.getUnixMode();org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java;279;286
org.apache.commons.compress.archivers.zip$ZipArchiveEntry.isUnixSymlink();org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java;288;298
org.apache.commons.compress.archivers.zip$ZipArchiveEntry.setVersionMadeBy(int);org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java;807;814
org.apache.commons.compress.archivers.zip$ZipArchiveEntry.setRawFlag(int);org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java;852;859
org.apache.commons.compress.archivers.zip$ZipArchiveInputStream.getNextZipEntry();org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java;219;325
org.apache.commons.compress.archivers.zip$ZipFile.getEntriesInPhysicalOrder();org/apache/commons/compress/archivers/zip/ZipFile.java;349;363
org.apache.commons.compress.archivers.zip$ZipFile.getEntry(String);org/apache/commons/compress/archivers/zip/ZipFile.java;365;380
org.apache.commons.compress.archivers.zip$ZipFile.getUnixSymlink(ZipArchiveEntry);org/apache/commons/compress/archivers/zip/ZipFile.java;530;551
org.apache.commons.compress.archivers.zip$ZipFile.positionAtCentralDirectory();org/apache/commons/compress/archivers/zip/ZipFile.java;866;894
org.apache.commons.compress.archivers.zip$ZipFile.positionAtCentralDirectory32();org/apache/commons/compress/archivers/zip/ZipFile.java;925;938
org.apache.commons.compress.archivers.zip$ZipFile.ZipFile(File);org/apache/commons/compress/archivers/zip/ZipFile.java;153;162
org.apache.commons.compress.archivers.zip$ZipFile.ZipFile(File,String);org/apache/commons/compress/archivers/zip/ZipFile.java;189;201
org.apache.commons.compress.archivers.zip$ZipFile.ZipFile(File,String,boolean);org/apache/commons/compress/archivers/zip/ZipFile.java;203;219
org.apache.commons.compress.archivers.zip$ZipShort.equals(Object);org/apache/commons/compress/archivers/zip/ZipShort.java;126;137
