Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,42556,10240,1018,0.002028
Agent4LR-M1R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,42556,10240,1018,0.003197
Agent4LR-M1R1-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,42556,10240,1500,0.004161
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,42556,10240,1898,0.004957
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,42556,10240,1018,0.009042
Agent4LR-M1R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,40775,11904,953,0.007354
Agent4LR-M1R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,40775,10496,953,0.008420
Agent4LR-M1R1-M2R2-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,31175,23168,1355,0.003763
Agent4LR-M1R1-M2R3-M1R1,1.0,1.0,1,1,1,1,1,0.0,23495,15616,2703,0.006110
Agent4LR-M1R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,30925,20736,965,0.015073
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,30925,17664,965,0.020526
Agent4LR-M2R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,42830,21248,1120,0.002974
Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,42830,22912,1120,0.003784
Agent4LR-M2R1-M2R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,27951,1664,947,0.007664
Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,27951,1664,947,0.008507
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,27951,1664,1150,0.008913
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,27951,1664,1249,0.009111
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,27951,3072,947,0.011139
Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,28230,17920,1163,0.005352
Agent4LR-M2R1-M2R3-M2R1,1.0,1.0,1,1,1,1,1,0.0,28367,16384,1817,0.007039
Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,24010,17536,967,0.011128
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,24010,16256,967,0.014212
Agent4LR-M2R2-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,47301,2560,1585,0.005053
Agent4LR-M2R2-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,47301,2560,1747,0.006585
Agent4LR-M2R2-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,47301,2560,2129,0.007349
Agent4LR-M2R2-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,47301,2560,1585,0.012301
Agent4LR-M2R2-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,17693,5120,1346,0.005963
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,17830,4352,1622,0.006722
Agent4LR-M2R2-M2R2-M2R3,1.0,1.0,1,1,1,1,1,0.0,17830,6016,1952,0.007008
Agent4LR-M2R2-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,17830,6784,1520,0.007835
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,29820,11264,1468,0.028381
Agent4LR-M2R3-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,46084,32640,2477,0.005354
Agent4LR-M2R3-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,36552,7168,2396,0.012317
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,27294,14464,5166,0.013901
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,31628,23296,2403,0.018983
Agent4LR-M3R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,8906,3456,785,0.008842
Agent4LR-M3R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,8906,2048,785,0.012462
Agent4LR-M3R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,27897,4352,909,0.014691
Agent4LR-M3R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,27897,6528,909,0.016546
Agent4LR-M3R1-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,23881,14976,1480,0.014161
Agent4LR-M3R1-M2R3-M3R1,1.0,1.0,1,1,1,1,1,0.0,27813,18560,2522,0.015767
Agent4LR-M3R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,23881,11136,915,0.021642
Agent4LR-M3R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,23881,11136,915,0.022447
Agent4LR-M3R1-M3R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,23881,11136,1041,0.022699
Agent4LR-M3R1-M3R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,23881,11136,1260,0.023137
Agent4LR-M3R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,23881,11136,915,0.026473
