rank;signature;path;startLine;endLine;score
1;org.apache.commons.csv$Lexer.readEscape();org/apache/commons/csv/Lexer.java;77;114;0.7071067811865476
2;org.apache.commons.csv$CSVLexer.parseEncapsulatedToken(Token);org/apache/commons/csv/CSVLexer.java;183;252;0.5773502691896258
3;org.apache.commons.csv$CSVLexer.parseSimpleToken(Token,int);org/apache/commons/csv/CSVLexer.java;130;181;0.48038446141526137
4;org.apache.commons.csv$CSVLexer.nextToken(Token);org/apache/commons/csv/CSVLexer.java;40;128;0.242535625036333
5;org.apache.commons.csv$Lexer.isCommentStart(int);org/apache/commons/csv/Lexer.java;178;180;0.227429413073671
5;org.apache.commons.csv$Lexer.isEscape(int);org/apache/commons/csv/Lexer.java;170;172;0.227429413073671
5;org.apache.commons.csv$Lexer.isQuoteChar(int);org/apache/commons/csv/Lexer.java;174;176;0.227429413073671
5;org.apache.commons.csv$Lexer.isStartOfLine(int);org/apache/commons/csv/Lexer.java;149;157;0.227429413073671
9;org.apache.commons.csv$CSVFormat.getEscape();org/apache/commons/csv/CSVFormat.java;713;720;0.22360679774997896
27;org.apache.commons.csv$CSVFormat.CSVFormat(char,Character,Quote,Character,Character,boolean,boolean,String,String,String[]);org/apache/commons/csv/CSVFormat.java;598;616;0.19245008972987526
27;org.apache.commons.csv$CSVFormat.isLineBreak(Character);org/apache/commons/csv/CSVFormat.java;425;427;0.19245008972987526
27;org.apache.commons.csv.CSVFormat$CSVFormatBuilder.CSVFormatBuilder(char,Character,Quote,Character,Character,boolean,boolean,String,String,String[]);org/apache/commons/csv/CSVFormat.java;106;124;0.19245008972987526
27;org.apache.commons.csv.CSVFormat$CSVFormatBuilder.validate();org/apache/commons/csv/CSVFormat.java;166;200;0.19245008972987526
48;org.apache.commons.csv$CSVParser.nextRecord();org/apache/commons/csv/CSVParser.java;176;222;0.10369516947304253
54;org.apache.commons.csv$CSVParser.getLineNumber();org/apache/commons/csv/CSVParser.java;154;163;0.0
