rank;signature;path;startLine;endLine;score
1;org.apache.commons.csv$CSVParser.getHeaderMap();org/apache/commons/csv/CSVParser.java;280;289;1.0
2;org.apache.commons.csv$CSVParser.parse(String,CSVFormat);org/apache/commons/csv/CSVParser.java;155;173;0.9988262910798122
3;org.apache.commons.csv$CSVParser.CSVParser(Reader,CSVFormat);org/apache/commons/csv/CSVParser.java;220;245;0.9953051643192489
4;org.apache.commons.csv$CSVParser.initializeHeader();org/apache/commons/csv/CSVParser.java;321;352;0.9906103286384976
5;org.apache.commons.csv$CSVParser.parse(File,CSVFormat);org/apache/commons/csv/CSVParser.java;135;153;0.9800469483568075
14;org.apache.commons.csv$CSVParser.nextRecord();org/apache/commons/csv/CSVParser.java;414;461;0.9389671361502347
15;org.apache.commons.csv$ExtendedBufferedReader.ExtendedBufferedReader(Reader);org/apache/commons/csv/ExtendedBufferedReader.java;47;52;0.9272300469483568
16;org.apache.commons.csv$Lexer.mapNullToDisabled(Character);org/apache/commons/csv/Lexer.java;290;292;0.926056338028169
17;org.apache.commons.csv$Lexer.Lexer(CSVFormat,ExtendedBufferedReader);org/apache/commons/csv/Lexer.java;60;69;0.9248826291079812
18;org.apache.commons.csv$CSVFormat.getHeader();org/apache/commons/csv/CSVFormat.java;417;424;0.9166666666666666
19;org.apache.commons.csv$CSVFormat.getIgnoreSurroundingSpaces();org/apache/commons/csv/CSVFormat.java;436;444;0.9154929577464789
46;org.apache.commons.csv$CSVFormat.hashCode();org/apache/commons/csv/CSVFormat.java;499;515;0.8063380281690141
79;org.apache.commons.csv$Lexer.isEscape(int);org/apache/commons/csv/Lexer.java;403;405;0.5504694835680751
83;org.apache.commons.csv$Lexer.close();org/apache/commons/csv/Lexer.java;422;430;0.545774647887324
95;org.apache.commons.csv$CSVPrinter.printAndQuote(Object,CharSequence,int,int);org/apache/commons/csv/CSVPrinter.java;227;418;0.3345070422535211
104;org.apache.commons.csv$CSVRecord.get(String);org/apache/commons/csv/CSVRecord.java;78;108;0.22652582159624413
114;org.apache.commons.csv$CSVRecord.CSVRecord(String[],Map<String,Integer>,String,long);org/apache/commons/csv/CSVRecord.java;48;54;0.19131455399061034
115;org.apache.commons.csv$CSVRecord.get(Enum<?>);org/apache/commons/csv/CSVRecord.java;56;65;0.18427230046948356
