rank;signature;path;startLine;endLine;score
1;org.apache.commons.csv$CSVPrinter.printAndQuote(Object,CharSequence,int,int);org/apache/commons/csv/CSVPrinter.java;169;436;1.0
2;org.apache.commons.csv$CSVParser.initializeHeader();org/apache/commons/csv/CSVParser.java;343;376;0.7235513260953323
3;org.apache.commons.csv$CSVFormat.CSVFormat(char,Character,Quote,Character,Character,boolean,boolean,String,String,String[],boolean);org/apache/commons/csv/CSVFormat.java;297;316;0.7226694358961299
3;org.apache.commons.csv$CSVFormat.withCommentStart(Character);org/apache/commons/csv/CSVFormat.java;674;691;0.7226694358961299
3;org.apache.commons.csv$CSVFormat.withDelimiter(char);org/apache/commons/csv/CSVFormat.java;693;708;0.7226694358961299
3;org.apache.commons.csv$CSVFormat.withEscape(Character);org/apache/commons/csv/CSVFormat.java;723;738;0.7226694358961299
3;org.apache.commons.csv$CSVFormat.withHeader(String);org/apache/commons/csv/CSVFormat.java;740;760;0.7226694358961299
16;org.apache.commons.csv$CSVFormat.validate();org/apache/commons/csv/CSVFormat.java;615;657;0.6639105722571744
21;org.apache.commons.csv$CSVParser.parse(File,CSVFormat);org/apache/commons/csv/CSVParser.java;134;152;0.492259808878332
23;org.apache.commons.csv$CSVParser.nextRecord();org/apache/commons/csv/CSVParser.java;438;487;0.4628390048761678
26;org.apache.commons.csv$CSVParser.parse(URL,Charset,CSVFormat);org/apache/commons/csv/CSVParser.java;174;200;0.40416772159604314
27;org.apache.commons.csv$Lexer.parseSimpleToken(Token,int);org/apache/commons/csv/Lexer.java;166;217;0.3506030298780898
28;org.apache.commons.csv$CSVParser.parse(String,CSVFormat);org/apache/commons/csv/CSVParser.java;154;172;0.33448654841333714
30;org.apache.commons.csv$CSVParser.getHeaderMap();org/apache/commons/csv/CSVParser.java;280;289;0.2862671771489601
39;org.apache.commons.csv$CSVFormat.getHeader();org/apache/commons/csv/CSVFormat.java;422;429;0.20723001873534064
57;org.apache.commons.csv$CSVParser.getRecords();org/apache/commons/csv/CSVParser.java;304;318;0.10441487749844322
59;org.apache.commons.csv$CSVFormat.getIgnoreSurroundingSpaces();org/apache/commons/csv/CSVFormat.java;441;449;0.09451876713619377
87;org.apache.commons.csv$CSVFormat.getNullString();org/apache/commons/csv/CSVFormat.java;451;466;0.0
87;org.apache.commons.csv$CSVRecord.values();org/apache/commons/csv/CSVRecord.java;222;224;0.0
