corpus_id;path;startLine;endLine
org.apache.commons.csv$CSVFormat.isLineBreak(char);org/apache/commons/csv/CSVFormat.java;234;244
org.apache.commons.csv$CSVFormat.newFormat(char);org/apache/commons/csv/CSVFormat.java;258;268
org.apache.commons.csv$CSVParser.parse(File,CSVFormat);org/apache/commons/csv/CSVParser.java;135;158
org.apache.commons.csv$CSVParser.parse(String,CSVFormat);org/apache/commons/csv/CSVParser.java;160;178
org.apache.commons.csv$CSVParser.addRecordValue();org/apache/commons/csv/CSVParser.java;251;259
org.apache.commons.csv$CSVParser.initializeHeader();org/apache/commons/csv/CSVParser.java;351;389
org.apache.commons.csv$CSVParser.isClosed();org/apache/commons/csv/CSVParser.java;391;393
org.apache.commons.csv$CSVParser.iterator();org/apache/commons/csv/CSVParser.java;395;449
org.apache.commons.csv$CSVParser.nextRecord();org/apache/commons/csv/CSVParser.java;451;500
org.apache.commons.csv$CSVParser.CSVParser(Reader,CSVFormat);org/apache/commons/csv/CSVParser.java;224;249
org.apache.commons.csv$CSVPrinter.close();org/apache/commons/csv/CSVPrinter.java;72;76
org.apache.commons.csv$CSVPrinter.printAndQuote(Object,CharSequence,int,int);org/apache/commons/csv/CSVPrinter.java;169;436
org.apache.commons.csv$CSVRecord.get(String);org/apache/commons/csv/CSVRecord.java;81;111
org.apache.commons.csv$CSVRecord.putIn(M);org/apache/commons/csv/CSVRecord.java;173;187
org.apache.commons.csv$CSVRecord.toMap();org/apache/commons/csv/CSVRecord.java;208;215
org.apache.commons.csv$CSVRecord.CSVRecord(String[],Map<String,Integer>,String,long);org/apache/commons/csv/CSVRecord.java;51;57
org.apache.commons.csv$ExtendedBufferedReader.isClosed();org/apache/commons/csv/ExtendedBufferedReader.java;160;162
org.apache.commons.csv$Lexer.isClosed();org/apache/commons/csv/Lexer.java;371;373
