rank;signature;path;startLine;endLine;score
1;com.google.gson.internal.bind$JsonAdapterAnnotationTypeAdapterFactory.getTypeAdapter(ConstructorConstructor,Gson,TypeToken<?>,JsonAdapter);com/google/gson/internal/bind/JsonAdapterAnnotationTypeAdapterFactory.java;50;71;1.0
2;com.google.gson.internal.bind$ReflectiveTypeAdapterFactory.createBoundField(Gson,Field,String,TypeToken<?>,boolean,boolean);com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java;103;139;0.9993010658745414
3;com.google.gson.reflect$TypeToken.get(Class<T>);com/google/gson/reflect/TypeToken.java;299;304;0.9980779311549887
4;com.google.gson.internal$ConstructorConstructor.newUnsafeAllocator(Type,Class<? super T>);com/google/gson/internal/ConstructorConstructor.java;216;231;0.997903197623624
5;com.google.gson.internal$ConstructorConstructor.get(TypeToken<T>);com/google/gson/internal/ConstructorConstructor.java;55;95;0.9977284640922593
6;com.google.gson.internal$UnsafeAllocator.create();com/google/gson/internal/UnsafeAllocator.java;34;107;0.9973789970295299
7;com.google.gson.internal.bind$TypeAdapterRuntimeTypeWrapper.write(JsonWriter,T);com/google/gson/internal/bind/TypeAdapterRuntimeTypeWrapper.java;44;70;0.996330595841342
8;com.google.gson.internal$ConstructorConstructor.newDefaultImplementationConstructor(Type,Class<? super T>);com/google/gson/internal/ConstructorConstructor.java;127;214;0.9958063952472479
9;com.google.gson.stream$JsonWriter.value(Number);com/google/gson/stream/JsonWriter.java;515;536;0.9956316617158832
28;com.google.gson.internal.bind$ReflectiveTypeAdapterFactory.create(Gson,TypeToken<T>);com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java;92;101;0.9800803774244278
30;com.google.gson.internal.bind$JsonAdapterAnnotationTypeAdapterFactory.create(Gson,TypeToken<T>);com/google/gson/internal/bind/JsonAdapterAnnotationTypeAdapterFactory.java;40;48;0.977284640922593
290;com.google.gson.internal.bind$TypeAdapterRuntimeTypeWrapper.read(JsonReader);com/google/gson/internal/bind/TypeAdapterRuntimeTypeWrapper.java;39;42;0.7938144329896907
363;com.google.gson$DefaultDateTypeAdapter.DefaultDateTypeAdapter();com/google/gson/DefaultDateTypeAdapter.java;44;47;0.6550760090861436
364;com.google.gson$DefaultDateTypeAdapter.DefaultDateTypeAdapter(String);com/google/gson/DefaultDateTypeAdapter.java;49;51;0.6545518084920496
365;com.google.gson$DefaultDateTypeAdapter.DefaultDateTypeAdapter(int);com/google/gson/DefaultDateTypeAdapter.java;53;55;0.6542023414293203
366;com.google.gson$DefaultDateTypeAdapter.DefaultDateTypeAdapter(int,int);com/google/gson/DefaultDateTypeAdapter.java;57;60;0.6538528743665909
367;com.google.gson$DefaultDateTypeAdapter.DefaultDateTypeAdapter(DateFormat,DateFormat);com/google/gson/DefaultDateTypeAdapter.java;62;65;0.6533286737724969
488;com.google.gson.internal.bind$ReflectiveTypeAdapterFactory.write(JsonWriter,Object);com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java;118;125;0.3611742093307706
527;com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$Adapter.write(JsonWriter,T);com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java;231;249;0.22925039315044557
