corpus_id;path;startLine;endLine
com.google.gson$FieldAttributes.getName();com/google/gson/FieldAttributes.java;56;61
com.google.gson$Gson.excluder();com/google/gson/Gson.java;292;294
com.google.gson$Gson.htmlSafe();com/google/gson/Gson.java;304;306
com.google.gson$Gson.getAdapter(TypeToken<T>);com/google/gson/Gson.java;425;472
com.google.gson$Gson.fromJson(String,Class<T>);com/google/gson/Gson.java;789;810
com.google.gson$Gson.Gson(Excluder,FieldNamingStrategy,Map<Type,InstanceCreator<?>>,boolean,boolean,boolean,boolean,boolean,boolean,boolean,LongSerializationPolicy,String,int,int,List<TypeAdapterFactory>,List<TypeAdapterFactory>,List<TypeAdapterFactory>);com/google/gson/Gson.java;194;280
com.google.gson$TypeAdapter.nullSafe();com/google/gson/TypeAdapter.java;145;202
com.google.gson.internal$$Gson$Types.canonicalize(Type);com/google/gson/internal/$Gson$Types.java;98;125
com.google.gson.internal$$Gson$Types.getRawType(Type);com/google/gson/internal/$Gson$Types.java;127;159
com.google.gson.internal$$Gson$Types.getMapKeyAndValueTypes(Type,Class<?>);com/google/gson/internal/$Gson$Types.java;310;331
com.google.gson.internal$$Gson$Types.resolve(Type,Class<?>,Type,Collection<TypeVariable>);com/google/gson/internal/$Gson$Types.java;337;414
com.google.gson.internal.$Gson$Types$WildcardTypeImpl.hashCode();com/google/gson/internal/$Gson$Types.java;589;593
com.google.gson.internal$ConstructorConstructor.newDefaultImplementationConstructor(Type,Class<? super T>);com/google/gson/internal/ConstructorConstructor.java;127;214
com.google.gson.internal$Excluder.excludeField(Field,boolean);com/google/gson/internal/Excluder.java;149;189
com.google.gson.internal$LinkedTreeMap.get(Object);com/google/gson/internal/LinkedTreeMap.java;81;84
com.google.gson.internal$LinkedTreeMap.find(K,boolean);com/google/gson/internal/LinkedTreeMap.java;115;181
com.google.gson.internal$UnsafeAllocator.assertInstantiable(Class<?>);com/google/gson/internal/UnsafeAllocator.java;109;122
com.google.gson.internal.bind$ObjectTypeAdapter.read(JsonReader);com/google/gson/internal/bind/ObjectTypeAdapter.java;54;91
com.google.gson.internal.bind$ReflectiveTypeAdapterFactory.getBoundFields(Gson,TypeToken<?>,Class<?>);com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java;142;178
com.google.gson.stream$JsonReader.nextNonWhitespace(boolean);com/google/gson/stream/JsonReader.java;1312;1405
