rank;signature;path;startLine;endLine;score
1;com.google.gson$DefaultDateTypeAdapter.deserializeToDate(JsonElement);com/google/gson/DefaultDateTypeAdapter.java;96;110;1.0
1;com.google.gson$JsonParseException.JsonParseException(String,Throwable);com/google/gson/JsonParseException.java;45;53;1.0
1;com.google.gson$JsonSyntaxException.JsonSyntaxException(String,Throwable);com/google/gson/JsonSyntaxException.java;33;35;1.0
1;com.google.gson.internal.bind.util$ISO8601Utils.indexOfNonDigit(String,int);com/google/gson/internal/bind/util/ISO8601Utils.java;340;349;1.0
1;com.google.gson.internal.bind.util$ISO8601Utils.parse(String,ParsePosition);com/google/gson/internal/bind/util/ISO8601Utils.java;114;276;1.0
6;com.google.gson$DefaultDateTypeAdapter.deserialize(JsonElement,Type,JsonDeserializationContext);com/google/gson/DefaultDateTypeAdapter.java;78;94;0.5
6;com.google.gson.internal.bind.util$ISO8601Utils.checkOffset(String,int,char);com/google/gson/internal/bind/util/ISO8601Utils.java;278;288;0.5
6;com.google.gson.internal.bind.util$ISO8601Utils.parseInt(String,int,int);com/google/gson/internal/bind/util/ISO8601Utils.java;290;323;0.5
9;com.google.gson$DefaultDateTypeAdapter.DefaultDateTypeAdapter();com/google/gson/DefaultDateTypeAdapter.java;45;48;0.4082482904638631
10;com.google.gson$DefaultDateTypeAdapter.DefaultDateTypeAdapter(DateFormat,DateFormat);com/google/gson/DefaultDateTypeAdapter.java;63;66;0.35355339059327373
18;com.google.gson$DefaultDateTypeAdapter.DefaultDateTypeAdapter(String);com/google/gson/DefaultDateTypeAdapter.java;50;52;0.0
18;com.google.gson$DefaultDateTypeAdapter.DefaultDateTypeAdapter(int);com/google/gson/DefaultDateTypeAdapter.java;54;56;0.0
18;com.google.gson$DefaultDateTypeAdapter.DefaultDateTypeAdapter(int,int);com/google/gson/DefaultDateTypeAdapter.java;58;61;0.0
18;com.google.gson$DefaultDateTypeAdapter.serialize(Date,Type,JsonSerializationContext);com/google/gson/DefaultDateTypeAdapter.java;70;76;0.0
18;com.google.gson$DefaultDateTypeAdapter.toString();com/google/gson/DefaultDateTypeAdapter.java;112;118;0.0
18;com.google.gson.internal.bind.util$ISO8601Utils.format(Date);com/google/gson/internal/bind/util/ISO8601Utils.java;38;46;0.0
18;com.google.gson.internal.bind.util$ISO8601Utils.format(Date,boolean,TimeZone);com/google/gson/internal/bind/util/ISO8601Utils.java;59;106;0.0
