Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,13.0,13.0,0,0,0,0,0,0.631578947368421,6927,0,1020,0.000754
Agent4LR-M1R1-M1R1-M2R1,13.0,13.0,0,0,0,0,0,0.631578947368421,5467,0,917,0.001052
Agent4LR-M1R1-M1R1-M2R2,13.0,13.0,0,0,0,0,0,0.631578947368421,5467,0,1020,0.001258
Agent4LR-M1R1-M1R1-M2R3,13.0,13.0,0,0,0,0,0,0.631578947368421,5467,0,1865,0.002948
Agent4LR-M1R1-M1R1-M3R1,5.0,5.0,0,0,0,0,1,0.21052631578947367,5467,0,917,0.003110
Agent4LR-M1R1-M2R1-M1R1,13.0,13.0,0,0,0,0,0,0.631578947368421,21892,5632,1063,0.004255
Agent4LR-M1R1-M2R1-M2R1,13.0,13.0,0,0,0,0,0,0.631578947368421,21892,5632,1063,0.004922
Agent4LR-M1R1-M2R2-M1R1,13.0,13.0,0,0,0,0,0,0.631578947368421,22993,9344,1220,0.003983
Agent4LR-M1R1-M2R3-M1R1,13.0,13.0,0,0,0,0,0,0.631578947368421,21892,11264,2419,0.006216
Agent4LR-M1R1-M3R1-M1R1,13.0,13.0,0,0,0,0,0,0.631578947368421,22535,14336,1133,0.010908
Agent4LR-M1R1-M3R1-M3R1,13.0,13.0,0,0,0,0,0,0.631578947368421,22535,14336,1133,0.014911
Agent4LR-M2R1-M1R1-M1R1,13.0,13.0,0,0,0,0,0,0.631578947368421,6475,0,1240,0.002769
Agent4LR-M2R1-M1R1-M2R1,13.0,13.0,0,0,0,0,0,0.631578947368421,6475,0,1240,0.003248
Agent4LR-M2R1-M2R1-M1R1,3.0,3.0,0,0,1,1,1,0.10526315789473684,26186,4352,1386,0.007557
Agent4LR-M2R1-M2R1-M2R1,13.0,13.0,0,0,0,0,0,0.631578947368421,28999,14976,879,0.005638
Agent4LR-M2R1-M2R1-M2R2,13.0,13.0,0,0,0,0,0,0.631578947368421,26186,4352,1690,0.008947
Agent4LR-M2R1-M2R1-M2R3,2.0,2.0,0,1,1,1,1,0.05263157894736842,26186,4352,2527,0.010621
Agent4LR-M2R1-M2R1-M3R1,13.0,13.0,0,0,0,0,0,0.631578947368421,26186,4352,1386,0.012251
Agent4LR-M2R1-M2R2-M2R1,13.0,13.0,0,0,0,0,0,0.631578947368421,28276,3456,1619,0.009529
Agent4LR-M2R1-M2R3-M2R1,13.0,13.0,0,0,0,0,0,0.631578947368421,25144,17664,5180,0.012672
Agent4LR-M2R1-M3R1-M2R1,13.0,13.0,0,0,0,0,0,0.631578947368421,24305,13312,1456,0.017951
Agent4LR-M2R1-M3R1-M3R1,13.0,13.0,0,0,0,0,0,0.631578947368421,24305,11648,1470,0.022231
Agent4LR-M2R2-M1R1-M1R1,13.0,13.0,0,0,0,0,0,0.631578947368421,22816,3840,797,0.002147
Agent4LR-M2R2-M1R1-M2R2,3.0,3.0,0,0,1,1,1,0.10526315789473684,22816,3840,1308,0.003793
Agent4LR-M2R2-M1R1-M2R3,3.0,3.0,0,0,1,1,1,0.10526315789473684,22816,3840,2277,0.005731
