Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,45867,24192,1279,0.001607
Agent4LR-M1R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,45867,24192,1279,0.002780
Agent4LR-M1R1-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,45867,24192,1499,0.003220
Agent4LR-M1R1-M1R1-M2R3,2.0,2.0,0,1,1,1,1,0.06666666666666667,45867,24192,1896,0.004014
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,45867,24192,1279,0.008645
Agent4LR-M1R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,35161,17792,1234,0.004635
Agent4LR-M1R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,35161,17792,1234,0.005557
Agent4LR-M1R1-M2R2-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,39670,28032,1623,0.004854
Agent4LR-M1R1-M2R3-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,35096,24832,2908,0.006980
Agent4LR-M1R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,39490,31872,1354,0.015329
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,39490,28032,1354,0.021178
Agent4LR-M2R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,46102,28416,645,0.001728
Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,46102,30080,645,0.002733
Agent4LR-M2R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,28062,7168,600,0.005822
Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,28062,7168,600,0.006603
Agent4LR-M2R1-M2R1-M2R2,2.0,2.0,0,1,1,1,1,0.06666666666666667,28062,7168,982,0.007367
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,28062,7168,1085,0.007573
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,28062,7168,600,0.010509
Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,28310,18048,1694,0.006405
Agent4LR-M2R1-M2R3-M2R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,32299,20096,6905,0.017363
Agent4LR-M2R1-M3R1-M2R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,31942,18176,650,0.019068
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,31942,18176,650,0.023121
Agent4LR-M2R2-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,30278,2176,537,0.002177
Agent4LR-M2R2-M1R1-M2R2,2.0,2.0,0,1,1,1,1,0.06666666666666667,30278,2176,846,0.003587
Agent4LR-M2R2-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,30278,2176,1130,0.004155
Agent4LR-M2R2-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,30278,2176,537,0.006933
Agent4LR-M2R2-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,26812,12672,548,0.004948
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,23393,8960,2079,0.007990
Agent4LR-M2R2-M2R2-M2R3,2.0,2.0,0,1,1,1,1,0.06666666666666667,23393,10624,2802,0.009062
Agent4LR-M2R2-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,23393,11136,1845,0.008657
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,22917,13440,582,0.016568
Agent4LR-M2R3-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,10584,1408,519,0.001442
Agent4LR-M2R3-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,29810,18304,693,0.004720
Agent4LR-M2R3-M2R3-M2R3,2.0,2.0,0,1,1,1,1,0.06666666666666667,30214,13056,7933,0.020482
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,21658,12160,720,0.016719
Agent4LR-M3R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,48163,32512,1040,0.008840
Agent4LR-M3R1-M1R1-M3R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,48163,32512,1040,0.017028
Agent4LR-M3R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,32454,16896,981,0.012628
Agent4LR-M3R1-M2R1-M3R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,32454,18944,981,0.014572
Agent4LR-M3R1-M2R2-M3R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,28498,18688,1204,0.012598
Agent4LR-M3R1-M2R3-M3R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,24607,15360,3710,0.017783
Agent4LR-M3R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,36463,23552,1059,0.024434
Agent4LR-M3R1-M3R1-M2R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,36463,23552,1059,0.025307
Agent4LR-M3R1-M3R1-M2R2,2.0,2.0,0,1,1,1,1,0.06666666666666667,36463,23552,1223,0.025635
Agent4LR-M3R1-M3R1-M2R3,2.0,2.0,0,1,1,1,1,0.06666666666666667,36463,23552,1616,0.026421
Agent4LR-M3R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.06666666666666667,36463,23552,1059,0.029673
