rank;signature;path;startLine;endLine;score
1;com.fasterxml.jackson.core.json$ReaderBasedJsonParser._nextTokenNotInObject(int);com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java;835;2243;1.0
2;com.fasterxml.jackson.core.json$UTF8StreamJsonParser._isNextTokenNameYes(int);com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java;1107;2756;0.8860694032413291
3;com.fasterxml.jackson.core.json$UTF8StreamJsonParser._isNextTokenNameMaybe(int,SerializableString);com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java;1154;2612;0.8778064958133569
4;com.fasterxml.jackson.core.filter$FilteringParserDelegate.nextToken();com/fasterxml/jackson/core/filter/FilteringParserDelegate.java;221;880;0.603130291549192
5;com.fasterxml.jackson.core.filter$FilteringParserDelegate._nextToken2();com/fasterxml/jackson/core/filter/FilteringParserDelegate.java;429;880;0.586204439723259
6;com.fasterxml.jackson.core.json$ReaderBasedJsonParser._handleOddValue(int);com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java;1577;1626;0.3898975653906531
7;com.fasterxml.jackson.core.json$UTF8StreamJsonParser.addName(int[],int,int);com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java;2229;2341;0.37034109830681644
86;com.fasterxml.jackson.core.sym$ByteQuadsCanonicalizer._findSecondary(int,int);com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java;620;647;0.15300748690699012
94;com.fasterxml.jackson.core.json$UTF8StreamJsonParser.nextToken();com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java;674;715;0.14893175175367282
102;com.fasterxml.jackson.core.sym$ByteQuadsCanonicalizer._verifySharing();com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java;874;886;0.1411297869503278
289;com.fasterxml.jackson.core.sym$ByteQuadsCanonicalizer.addName(String,int);com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java;766;778;0.08291258092772041
289;com.fasterxml.jackson.core.sym$ByteQuadsCanonicalizer.addName(String,int,int);com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java;780;794;0.08291258092772041
289;com.fasterxml.jackson.core.sym$ByteQuadsCanonicalizer.addName(String,int,int,int);com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java;796;810;0.08291258092772041
289;com.fasterxml.jackson.core.sym$ByteQuadsCanonicalizer.addName(String,int[],int);com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java;812;861;0.08291258092772041
312;com.fasterxml.jackson.core.json$UTF8StreamJsonParser._skipString();com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java;2499;2562;0.07797437282603922
470;com.fasterxml.jackson.core.json$UTF8StreamJsonParser._parseName(int);com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java;1644;1704;0.06399239764179294
495;com.fasterxml.jackson.core.sym$ByteQuadsCanonicalizer._reportTooManyCollisions();com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java;1180;1190;0.061409127530178874
683;com.fasterxml.jackson.core.sym$ByteQuadsCanonicalizer.findName(int);com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java;468;498;0.041402569235295755
732;com.fasterxml.jackson.core.sym$ByteQuadsCanonicalizer._findOffsetForAdd(int);com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java;888;939;0.03877473049896819
1292;com.fasterxml.jackson.core.sym$ByteQuadsCanonicalizer._verifyNeedForRehash();com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java;863;872;0.004374013580010431
