rank;signature;path;startLine;endLine;score
1;com.fasterxml.jackson.core$JsonFactory.createParser(char[]);com/fasterxml/jackson/core/JsonFactory.java;874;882;1.0
2;com.fasterxml.jackson.core$JsonFactory.createParser(char[],int,int);com/fasterxml/jackson/core/JsonFactory.java;884;896;0.9999203758261008
3;com.fasterxml.jackson.core.json$ReaderBasedJsonParser.getTokenLocation();com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java;2667;2675;0.9997611274783024
4;com.fasterxml.jackson.core$JsonLocation.getCharOffset();com/fasterxml/jackson/core/JsonLocation.java;77;81;0.9993630066088064
5;com.fasterxml.jackson.core.base$ParserBase.getTokenCharacterOffset();com/fasterxml/jackson/core/base/ParserBase.java;475;475;0.9992833824349072
6;com.fasterxml.jackson.core.base$ParserBase.getTokenLineNr();com/fasterxml/jackson/core/base/ParserBase.java;476;476;0.999203758261008
7;com.fasterxml.jackson.core.base$ParserBase.getTokenColumnNr();com/fasterxml/jackson/core/base/ParserBase.java;477;481;0.9991241340871089
8;com.fasterxml.jackson.core.io$IOContext.getSourceReference();com/fasterxml/jackson/core/io/IOContext.java;126;126;0.9989648857393104
9;com.fasterxml.jackson.core$JsonLocation.JsonLocation(Object,long,long,int,int);com/fasterxml/jackson/core/JsonLocation.java;47;55;0.9988056373915121
10;com.fasterxml.jackson.core.json$ReaderBasedJsonParser._isNextTokenNameMaybe(int,String);com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java;960;2488;0.9982482681742177
10;com.fasterxml.jackson.core.json$ReaderBasedJsonParser._isNextTokenNameYes(int);com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java;914;2504;0.9982482681742177
10;com.fasterxml.jackson.core.json$ReaderBasedJsonParser._nextTokenNotInObject(int);com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java;1016;2472;0.9982482681742177
14;com.fasterxml.jackson.core.json$ReaderBasedJsonParser._nextAfterName();com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java;707;722;0.9977705231308225
27;com.fasterxml.jackson.core.json$ReaderBasedJsonParser.nextToken();com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java;569;608;0.9912413408710885
308;com.fasterxml.jackson.core.base$ParserBase.getTokenLocation();com/fasterxml/jackson/core/base/ParserBase.java;428;439;0.9221275579265865
928;com.fasterxml.jackson.core.filter$FilteringParserDelegate.nextToken();com/fasterxml/jackson/core/filter/FilteringParserDelegate.java;221;880;0.46516442391910184
1136;com.fasterxml.jackson.core.json$UTF8StreamJsonParser._isNextTokenNameYes(int);com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java;1106;2756;0.28163070308145555
1137;com.fasterxml.jackson.core.json$UTF8StreamJsonParser._isNextTokenNameMaybe(int,SerializableString);com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java;1153;2612;0.2803567162990684
1205;com.fasterxml.jackson.core.json$UTF8StreamJsonParser.getTokenLocation();com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java;3613;3624;0.18098574727287203
1218;com.fasterxml.jackson.core.json$UTF8StreamJsonParser.nextToken();com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java;669;706;0.1665737717971176
1220;com.fasterxml.jackson.core.json$UTF8StreamJsonParser._nextAfterName();com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java;839;854;0.1610000796241739
