rank;signature;path;startLine;endLine;score
1;com.fasterxml.jackson.databind$DeserializationContext.handleUnknownTypeId(JavaType,String,TypeIdResolver,String);com/fasterxml/jackson/databind/DeserializationContext.java;1143;1188;1.0
2;com.fasterxml.jackson.databind$DeserializationContext.handleMissingTypeId(JavaType,TypeIdResolver,String);com/fasterxml/jackson/databind/DeserializationContext.java;1190;1219;0.9640073389790185
3;com.fasterxml.jackson.databind.jsontype.impl$ClassNameIdResolver._typeFromId(String,DatabindContext);com/fasterxml/jackson/databind/jsontype/impl/ClassNameIdResolver.java;47;58;0.9069513989634259
4;com.fasterxml.jackson.databind$DeserializationContext.handleUnknownProperty(JsonParser,JsonDeserializer<?>,Object,String);com/fasterxml/jackson/databind/DeserializationContext.java;795;825;0.8730662714461935
5;com.fasterxml.jackson.databind.jsontype.impl$TypeDeserializerBase._findDeserializer(DeserializationContext,String);com/fasterxml/jackson/databind/jsontype/impl/TypeDeserializerBase.java;146;199;0.8328151790889098
6;com.fasterxml.jackson.databind$DeserializationContext.handleInstantiationProblem(Class<?>,Object,Throwable);com/fasterxml/jackson/databind/DeserializationContext.java;1035;1074;0.8083556493914249
7;com.fasterxml.jackson.databind$DeserializationContext.handleWeirdStringValue(Class<?>,String,String,Object);com/fasterxml/jackson/databind/DeserializationContext.java;870;912;0.7928219430665735
57;com.fasterxml.jackson.databind.deser.std$CollectionDeserializer.deserialize(JsonParser,DeserializationContext,Collection<Object>);com/fasterxml/jackson/databind/deser/std/CollectionDeserializer.java;258;306;0.5435795116026196
709;com.fasterxml.jackson.databind.jsontype.impl$ClassNameIdResolver.getDescForKnownTypeIds();com/fasterxml/jackson/databind/jsontype/impl/ClassNameIdResolver.java;117;120;0.27723909492059173
882;com.fasterxml.jackson.databind.deser.std$StdDeserializer.StdDeserializer(JavaType);com/fasterxml/jackson/databind/deser/std/StdDeserializer.java;65;68;0.25353006045409454
1989;com.fasterxml.jackson.databind.deser.std$JsonNodeDeserializer.getDeserializer(Class<?>);com/fasterxml/jackson/databind/deser/std/JsonNodeDeserializer.java;32;45;0.13673193681321444
2057;com.fasterxml.jackson.databind.deser.std$FromStringDeserializer._deserializeFromEmptyString();com/fasterxml/jackson/databind/deser/std/FromStringDeserializer.java;190;192;0.1333362852456273
2835;com.fasterxml.jackson.databind.deser.std$StdDeserializer.StdDeserializer(Class<?>);com/fasterxml/jackson/databind/deser/std/StdDeserializer.java;61;63;0.09704648867929185
3406;com.fasterxml.jackson.databind$JsonMappingException.wrapWithPath(Throwable,Reference);com/fasterxml/jackson/databind/JsonMappingException.java;368;398;0.05183103151597139
3411;com.fasterxml.jackson.databind.util$BeanUtil.legacyManglePropertyName(String,int);com/fasterxml/jackson/databind/util/BeanUtil.java;226;260;0.05163918842555192
3459;com.fasterxml.jackson.databind$JsonMappingException.toString();com/fasterxml/jackson/databind/JsonMappingException.java;509;513;0.0475203154977805
3539;com.fasterxml.jackson.databind$JsonMappingException._appendPathDesc(StringBuilder);com/fasterxml/jackson/databind/JsonMappingException.java;521;533;0.04498279846411945
4200;com.fasterxml.jackson.databind$JsonMappingException.wrapWithPath(Throwable,Object,int);com/fasterxml/jackson/databind/JsonMappingException.java;356;366;0.0
4200;com.fasterxml.jackson.databind.JsonMappingException$Reference.Reference(Object,int);com/fasterxml/jackson/databind/JsonMappingException.java;94;97;0.0
4200;com.fasterxml.jackson.databind.ser.std$CollectionSerializer.hasSingleElement(Collection<?>);com/fasterxml/jackson/databind/ser/std/CollectionSerializer.java;83;86;0.0
