rank;signature;path;startLine;endLine;score
1;com.fasterxml.jackson.databind.jsonFormatVisitors.JsonObjectFormatVisitor$Base.Base(SerializerProvider);com/fasterxml/jackson/databind/jsonFormatVisitors/JsonObjectFormatVisitor.java;43;43;0.4472135954999579
1;com.fasterxml.jackson.databind.jsonFormatVisitors.JsonObjectFormatVisitor$Base.getProvider();com/fasterxml/jackson/databind/jsonFormatVisitors/JsonObjectFormatVisitor.java;45;46;0.4472135954999579
1;com.fasterxml.jackson.databind.ser.std$NumberSerializer.acceptJsonFormatVisitor(JsonFormatVisitorWrapper,JavaType);com/fasterxml/jackson/databind/ser/std/NumberSerializer.java;73;87;0.4472135954999579
1;com.fasterxml.jackson.databind.ser.std$StdSerializer.visitFloatFormat(JsonFormatVisitorWrapper,JavaType,NumberType);com/fasterxml/jackson/databind/ser/std/StdSerializer.java;247;263;0.4472135954999579
1;com.fasterxml.jackson.databind.ser.std$StdSerializer.visitIntFormat(JsonFormatVisitorWrapper,JavaType,NumberType);com/fasterxml/jackson/databind/ser/std/StdSerializer.java;203;221;0.4472135954999579
6;com.fasterxml.jackson.databind$ObjectMapper.getTypeFactory();com/fasterxml/jackson/databind/ObjectMapper.java;1458;1463;0.3903600291794133
7;com.fasterxml.jackson.databind.type$TypeFactory.withClassLoader(ClassLoader);com/fasterxml/jackson/databind/type/TypeFactory.java;172;174;0.3651483716701107
8;com.fasterxml.jackson.databind.ser.std$BeanSerializerBase.acceptJsonFormatVisitor(JsonFormatVisitorWrapper,JavaType);com/fasterxml/jackson/databind/ser/std/BeanSerializerBase.java;789;825;0.31622776601683794
9;com.fasterxml.jackson.databind.ser$BeanPropertyWriter.depositSchemaProperty(JsonObjectFormatVisitor,SerializerProvider);com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java;775;787;0.2581988897471611
10;com.fasterxml.jackson.databind.type$TypeFactory.withModifier(TypeModifier);com/fasterxml/jackson/databind/type/TypeFactory.java;161;170;0.24806946917841693
549;com.fasterxml.jackson.databind.deser.std.StdKeyDeserializer$DelegatingKD.getKeyClass();com/fasterxml/jackson/databind/deser/std/StdKeyDeserializer.java;313;313;0.0
549;com.fasterxml.jackson.databind.introspect$AnnotatedMethod.toString();com/fasterxml/jackson/databind/introspect/AnnotatedMethod.java;224;227;0.0
549;com.fasterxml.jackson.databind.ser.impl$PropertySerializerMap.addSerializer(Class<?>,JsonSerializer<Object>);com/fasterxml/jackson/databind/ser/impl/PropertySerializerMap.java;148;156;0.0
549;com.fasterxml.jackson.databind.ser.std$NumberSerializer.serialize(Number,JsonGenerator,SerializerProvider);com/fasterxml/jackson/databind/ser/std/NumberSerializer.java;40;66;0.0
549;com.fasterxml.jackson.databind.util$TokenBuffer.copyCurrentEvent(JsonParser);com/fasterxml/jackson/databind/util/TokenBuffer.java;934;1011;0.0
549;com.fasterxml.jackson.databind.util.TokenBuffer$Parser.getBigIntegerValue();com/fasterxml/jackson/databind/util/TokenBuffer.java;1439;1451;0.0
549;com.fasterxml.jackson.databind.util.TokenBuffer$Parser.getDecimalValue();com/fasterxml/jackson/databind/util/TokenBuffer.java;1453;1470;0.0
549;com.fasterxml.jackson.databind.util.TokenBuffer$Parser.getNumberType();com/fasterxml/jackson/databind/util/TokenBuffer.java;1497;1509;0.0
