Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,7509,0,918,0.000743
Agent4LR-M1R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,7509,0,918,0.001185
Agent4LR-M1R1-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,7509,0,1103,0.001555
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,7509,0,1613,0.002575
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,7509,0,918,0.003399
Agent4LR-M1R1-M2R1-M1R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,25319,7680,1072,0.004740
Agent4LR-M1R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,25319,7680,1072,0.005383
Agent4LR-M1R1-M2R2-M1R1,1.0,1.0,1,1,1,1,1,0.0,16801,8576,1230,0.003150
Agent4LR-M1R1-M2R3-M1R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,19475,9984,2873,0.006710
Agent4LR-M1R1-M3R1-M1R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,16701,11392,1062,0.008818
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,16701,9856,1062,0.012233
Agent4LR-M2R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,3860,0,303,0.000773
Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,3860,0,303,0.001075
Agent4LR-M2R1-M2R1-M1R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,19441,1664,479,0.004900
Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,19441,1664,479,0.005444
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,19441,1664,674,0.005834
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,19441,1664,1460,0.007406
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,19441,1664,479,0.008165
Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,16926,1536,556,0.004998
Agent4LR-M2R1-M2R3-M2R1,1.0,1.0,1,1,1,1,1,0.0,17006,3584,3015,0.009475
Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,14311,3840,533,0.014242
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,14311,3840,533,0.016606
Agent4LR-M2R2-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,5089,0,396,0.000940
Agent4LR-M2R2-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,5089,0,565,0.001600
Agent4LR-M2R2-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,5089,0,857,0.002184
Agent4LR-M2R2-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,5089,0,396,0.002871
Agent4LR-M2R2-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,18561,4224,522,0.004734
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,14226,1024,1430,0.006186
Agent4LR-M2R2-M2R2-M2R3,1.0,1.0,1,1,1,1,1,0.0,14226,1024,1834,0.006994
Agent4LR-M2R2-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,14226,1024,1090,0.007952
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,11861,4864,540,0.012117
Agent4LR-M2R3-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,12348,3840,901,0.001982
Agent4LR-M2R3-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,18705,5632,939,0.005287
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,14048,4096,4849,0.012288
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,11971,3840,957,0.014241
Agent4LR-M3R1-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,5624,1280,905,0.008976
Agent4LR-M3R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,5624,1280,905,0.011495
Agent4LR-M3R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,25571,4992,1081,0.014429
Agent4LR-M3R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,25571,6400,1081,0.016109
Agent4LR-M3R1-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,22563,11904,1143,0.013625
Agent4LR-M3R1-M2R3-M3R1,1.0,1.0,1,1,1,1,1,0.0,22698,12032,4657,0.020579
Agent4LR-M3R1-M3R1-M1R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,14307,4352,1049,0.021824
Agent4LR-M3R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,14307,2944,1049,0.022422
Agent4LR-M3R1-M3R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,14307,2944,1256,0.022836
Agent4LR-M3R1-M3R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,14307,2944,1633,0.023590
Agent4LR-M3R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,14307,2944,1049,0.025062
