rank;signature;path;startLine;endLine;score
1;com.fasterxml.jackson.databind.util$StdDateFormat.withTimeZone(TimeZone);com/fasterxml/jackson/databind/util/StdDateFormat.java;160;172;1.0
2;com.fasterxml.jackson.databind.util$StdDateFormat.parse(String);com/fasterxml/jackson/databind/util/StdDateFormat.java;281;329;0.9999193830113132
3;com.fasterxml.jackson.databind.util$StdDateFormat.clone();com/fasterxml/jackson/databind/util/StdDateFormat.java;181;187;0.9997581490339398
4;com.fasterxml.jackson.databind.util$StdDateFormat.StdDateFormat(TimeZone,Locale,Boolean);com/fasterxml/jackson/databind/util/StdDateFormat.java;150;154;0.9997312767043774
5;com.fasterxml.jackson.databind$ObjectReader.with(TimeZone);com/fasterxml/jackson/databind/ObjectReader.java;791;793;0.9996237873861284
6;com.fasterxml.jackson.databind.cfg$BaseSettings._force(DateFormat,TimeZone);com/fasterxml/jackson/databind/cfg/BaseSettings.java;375;384;0.9995969150565662
7;com.fasterxml.jackson.databind$DeserializationConfig.with(TimeZone);com/fasterxml/jackson/databind/DeserializationConfig.java;393;396;0.999570042727004
8;com.fasterxml.jackson.databind.type$TypeFactory.withClassLoader(ClassLoader);com/fasterxml/jackson/databind/type/TypeFactory.java;191;193;0.9995431703974418
9;com.fasterxml.jackson.databind.util$StdDateFormat.parseAsISO8601(String,ParsePosition,boolean);com/fasterxml/jackson/databind/util/StdDateFormat.java;428;549;0.9995162980678794
13;com.fasterxml.jackson.databind.util$StdDateFormat.hasTimeZone(String);com/fasterxml/jackson/databind/util/StdDateFormat.java;560;573;0.9989788514766345
14;com.fasterxml.jackson.databind.util$StdDateFormat._cloneFormat(DateFormat,String,TimeZone,Locale,Boolean);com/fasterxml/jackson/databind/util/StdDateFormat.java;575;591;0.9989519791470722
22;com.fasterxml.jackson.databind.deser.std$DateDeserializers.find(Class<?>,String);com/fasterxml/jackson/databind/deser/std/DateDeserializers.java;40;61;0.9976889796576465
616;com.fasterxml.jackson.databind$ObjectMapper.setTimeZone(TimeZone);com/fasterxml/jackson/databind/ObjectMapper.java;1783;1791;0.9453954263295085
675;com.fasterxml.jackson.databind$ObjectMapper.readValue(String,Class<T>);com/fasterxml/jackson/databind/ObjectMapper.java;2842;2859;0.9421707467820385
1069;com.fasterxml.jackson.databind$SerializerProvider._dateFormat();com/fasterxml/jackson/databind/SerializerProvider.java;1357;1377;0.9102464192620858
1708;com.fasterxml.jackson.databind.deser.std$StdKeyDeserializer._parseInt(String);com/fasterxml/jackson/databind/deser/std/StdKeyDeserializer.java;238;240;0.7993980598178057
2884;com.fasterxml.jackson.databind.ser.std$DateTimeSerializerBase.createContextual(SerializerProvider,BeanProperty);com/fasterxml/jackson/databind/ser/std/DateTimeSerializerBase.java;48;122;0.6679923682584044
3443;com.fasterxml.jackson.databind.util$StdDateFormat._clearFormats();com/fasterxml/jackson/databind/util/StdDateFormat.java;593;599;0.6025313734447639
3846;com.fasterxml.jackson.databind.deser.impl$CreatorCollector._fixAccess(T);com/fasterxml/jackson/databind/deser/impl/CreatorCollector.java;290;296;0.45822696369548277
4882;com.fasterxml.jackson.databind.util$ISO8601Utils.parse(String,ParsePosition);com/fasterxml/jackson/databind/util/ISO8601Utils.java;146;305;0.14185902775911644
4969;com.fasterxml.jackson.databind.deser.std.DateDeserializers$DateBasedDeserializer.createContextual(DeserializationContext,BeanProperty);com/fasterxml/jackson/databind/deser/std/DateDeserializers.java;99;139;0.1142342729691237
