rank;signature;path;startLine;endLine;score
1;com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser.nextToken();com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java;444;578;0.8164965809277261
2;com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser._isEmpty(String);com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java;944;955;0.6666666666666666
2;com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser.addVirtualWrapping(Set<String>);com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java;281;309;0.6666666666666666
4;com.fasterxml.jackson.dataformat.xml.deser$XmlTokenStream._handleRepeatElement();com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java;429;466;0.5773502691896258
5;com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector.setDefaultUseWrapper(boolean);com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;136;139;0.5163977794943222
5;com.fasterxml.jackson.dataformat.xml$XmlMapper.setDefaultUseWrapper(boolean);com/fasterxml/jackson/dataformat/xml/XmlMapper.java;119;131;0.5163977794943222
7;com.fasterxml.jackson.dataformat.xml.deser$XmlTokenStream.repeatStartElement();com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java;217;238;0.47140452079103173
8;com.fasterxml.jackson.dataformat.xml.deser$XmlTokenStream._handleEndElement();com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java;468;484;0.408248290463863
9;com.fasterxml.jackson.dataformat.xml.deser$ElementWrapper.ElementWrapper(ElementWrapper,String,String);com/fasterxml/jackson/dataformat/xml/deser/ElementWrapper.java;25;31;0.39735970711951313
9;com.fasterxml.jackson.dataformat.xml.deser$ElementWrapper.getParent();com/fasterxml/jackson/dataformat/xml/deser/ElementWrapper.java;63;63;0.39735970711951313
53;com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector.findNameForDeserialization(Annotated);com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;162;175;0.19364916731037085
60;com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector._findXmlName(Annotated);com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;198;205;0.18359701840863138
65;com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector.JacksonXmlAnnotationIntrospector(boolean);com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;34;36;0.15617376188860607
88;com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector.JacksonXmlAnnotationIntrospector();com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;30;32;0.0
88;com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector._constructStdTypeResolverBuilder();com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;183;190;0.0
88;com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.findNamespace(Annotated);com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java;93;101;0.0
88;com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser._updateState(JsonToken);com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java;687;706;0.0
88;com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser.disable(Feature);com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java;220;223;0.0
88;com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser.nextTextValue();com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java;586;684;0.0
88;com.fasterxml.jackson.dataformat.xml.ser$ToXmlGenerator.writeNumber(int);com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java;832;859;0.0
88;com.fasterxml.jackson.dataformat.xml.ser$ToXmlGenerator.writeString(String);com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java;569;604;0.0
