rank;signature;path;startLine;endLine;score
1;com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser.nextToken();com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java;444;578;1.0
2;com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser.addVirtualWrapping(Set<String>);com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java;281;309;0.9987158908507223
3;com.fasterxml.jackson.dataformat.xml.deser$XmlTokenStream._handleRepeatElement();com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java;429;466;0.9983948635634029
4;com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector.setDefaultUseWrapper(boolean);com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;136;139;0.9980738362760835
5;com.fasterxml.jackson.dataformat.xml$XmlMapper.setDefaultUseWrapper(boolean);com/fasterxml/jackson/dataformat/xml/XmlMapper.java;119;131;0.9977528089887641
6;com.fasterxml.jackson.dataformat.xml.deser$XmlTokenStream.repeatStartElement();com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java;217;238;0.9964686998394864
7;com.fasterxml.jackson.dataformat.xml.deser$XmlTokenStream._handleEndElement();com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java;468;484;0.996147672552167
8;com.fasterxml.jackson.dataformat.xml.deser$ElementWrapper.ElementWrapper(ElementWrapper,String,String);com/fasterxml/jackson/dataformat/xml/deser/ElementWrapper.java;25;31;0.9948635634028893
14;com.fasterxml.jackson.dataformat.xml.deser$ElementWrapper.getParent();com/fasterxml/jackson/dataformat/xml/deser/ElementWrapper.java;63;63;0.9922953451043338
27;com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser._isEmpty(String);com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java;944;955;0.9746388443017656
50;com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector.findNameForDeserialization(Annotated);com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;162;175;0.9370786516853933
60;com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector._findXmlName(Annotated);com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;198;205;0.9223113964686999
64;com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector.JacksonXmlAnnotationIntrospector(boolean);com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;34;36;0.9162118780096308
99;com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector._constructStdTypeResolverBuilder();com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;183;190;0.8712680577849117
100;com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector.JacksonXmlAnnotationIntrospector();com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;30;32;0.8709470304975923
182;com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser.disable(Feature);com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java;220;223;0.7861958266452649
192;com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser.nextTextValue();com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java;586;684;0.7746388443017657
193;com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser._updateState(JsonToken);com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java;687;706;0.7582664526484751
247;com.fasterxml.jackson.dataformat.xml.ser$ToXmlGenerator.writeString(String);com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java;569;604;0.6677367576243981
260;com.fasterxml.jackson.dataformat.xml.ser$ToXmlGenerator.writeNumber(int);com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java;832;859;0.6349919743178171
392;com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.findNamespace(Annotated);com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java;93;101;0.12038523274478331
