Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,10718,1152,691,0.000755
Agent4LR-M1R1-M1R1-M2R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,10718,1152,691,0.001202
Agent4LR-M1R1-M1R1-M2R2,12.0,12.0,0,0,0,0,0,0.6470588235294118,10718,1152,858,0.001536
Agent4LR-M1R1-M1R1-M2R3,12.0,12.0,0,0,0,0,0,0.6470588235294118,10718,1152,1253,0.002326
Agent4LR-M1R1-M1R1-M3R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,10718,1152,691,0.003438
Agent4LR-M1R1-M2R1-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,24106,1664,787,0.005645
Agent4LR-M1R1-M2R1-M2R1,3.0,3.0,0,0,1,1,1,0.11764705882352941,24106,1664,787,0.006273
Agent4LR-M1R1-M2R2-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,21160,8064,1138,0.004202
Agent4LR-M1R1-M2R3-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,18342,8960,2237,0.005881
Agent4LR-M1R1-M3R1-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,22770,14080,885,0.013534
Agent4LR-M1R1-M3R1-M3R1,3.0,3.0,0,0,1,1,1,0.11764705882352941,22770,12672,885,0.017337
Agent4LR-M2R1-M1R1-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,5632,0,314,0.000895
Agent4LR-M2R1-M1R1-M2R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,5632,0,314,0.001231
Agent4LR-M2R1-M2R1-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,20461,7936,524,0.003801
Agent4LR-M2R1-M2R1-M2R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,20461,7936,524,0.004378
Agent4LR-M2R1-M2R1-M2R2,12.0,12.0,0,0,0,0,0,0.6470588235294118,20461,7936,847,0.005024
Agent4LR-M2R1-M2R1-M2R3,12.0,12.0,0,0,0,0,0,0.6470588235294118,20461,7936,1816,0.006962
Agent4LR-M2R1-M2R1-M3R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,20461,7936,524,0.007262
Agent4LR-M2R1-M2R2-M2R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,11488,2048,908,0.004227
Agent4LR-M2R1-M2R3-M2R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,18395,4864,6947,0.017398
Agent4LR-M2R1-M3R1-M2R1,3.0,3.0,0,0,1,1,1,0.11764705882352941,20032,10624,608,0.013856
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,20032,10624,608,0.016730
Agent4LR-M2R2-M1R1-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,18105,0,5076,0.011055
Agent4LR-M2R2-M1R1-M2R2,12.0,12.0,0,0,0,0,0,0.6470588235294118,18105,0,5062,0.012268
