corpus_id;path;startLine;endLine
com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector.findRootName(AnnotatedClass);com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;69;83
com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector.findNameForDeserialization(Annotated);com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;162;175
com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector._constructStdTypeResolverBuilder();com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;183;190
com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector._findXmlName(Annotated);com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;198;205
com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector.JacksonXmlAnnotationIntrospector();com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;30;32
com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector.JacksonXmlAnnotationIntrospector(boolean);com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java;34;36
com.fasterxml.jackson.dataformat.xml$XmlFactory.copy();com/fasterxml/jackson/dataformat/xml/XmlFactory.java;148;159
com.fasterxml.jackson.dataformat.xml$XmlFactory.XmlFactory(XmlFactory,ObjectCodec);com/fasterxml/jackson/dataformat/xml/XmlFactory.java;127;138
com.fasterxml.jackson.dataformat.xml$XmlMapper.copy();com/fasterxml/jackson/dataformat/xml/XmlMapper.java;100;105
com.fasterxml.jackson.dataformat.xml$XmlMapper.version();com/fasterxml/jackson/dataformat/xml/XmlMapper.java;107;110
com.fasterxml.jackson.dataformat.xml$XmlMapper.configure(FromXmlParser.Feature,boolean);com/fasterxml/jackson/dataformat/xml/XmlMapper.java;160;163
com.fasterxml.jackson.dataformat.xml$XmlMapper.writeValue(XMLStreamWriter,Object);com/fasterxml/jackson/dataformat/xml/XmlMapper.java;227;240
com.fasterxml.jackson.dataformat.xml$XmlMapper.XmlMapper(XmlMapper);com/fasterxml/jackson/dataformat/xml/XmlMapper.java;92;98
com.fasterxml.jackson.dataformat.xml.ser$XmlSerializerProvider.copy();com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java;68;71
com.fasterxml.jackson.dataformat.xml.ser$XmlSerializerProvider.XmlSerializerProvider(XmlSerializerProvider);com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java;52;60
com.fasterxml.jackson.dataformat.xml.util$XmlRootNameLookup.findRootName(Class<?>,MapperConfig<?>);com/fasterxml/jackson/dataformat/xml/util/XmlRootNameLookup.java;44;59
com.fasterxml.jackson.dataformat.xml.util$XmlRootNameLookup._findRootName(Class<?>,MapperConfig<?>);com/fasterxml/jackson/dataformat/xml/util/XmlRootNameLookup.java;63;91
com.fasterxml.jackson.dataformat.xml.util$XmlRootNameLookup.findNamespace(AnnotationIntrospector,AnnotatedClass);com/fasterxml/jackson/dataformat/xml/util/XmlRootNameLookup.java;93;104
