Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.1111111111111111,5550,0,509,0.000481
Agent4LR-M1R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,5550,0,509,0.000876
Agent4LR-M1R1-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,5550,0,815,0.001488
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,5550,0,1620,0.003098
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,5550,0,509,0.002850
Agent4LR-M1R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.05555555555555555,24053,3456,685,0.005173
Agent4LR-M1R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,24053,3456,685,0.005783
Agent4LR-M1R1-M2R2-M1R1,2.0,2.0,0,1,1,1,1,0.05555555555555555,21098,9728,932,0.003567
Agent4LR-M1R1-M2R3-M1R1,2.0,2.0,0,1,1,1,1,0.05555555555555555,15993,3584,3519,0.008881
Agent4LR-M1R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.05555555555555555,18210,10624,711,0.011108
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,18210,9344,711,0.014422
Agent4LR-M2R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.05555555555555555,7886,2944,664,0.001550
Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,7886,2944,664,0.001994
Agent4LR-M2R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.05555555555555555,24959,3200,841,0.006552
Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,24959,3200,841,0.007202
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,24959,3200,1336,0.008192
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,24959,3200,2033,0.009586
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,24959,3200,841,0.010449
Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,25016,9856,1417,0.006870
Agent4LR-M2R1-M2R3-M2R1,1.0,1.0,1,1,1,1,1,0.0,22265,4992,3530,0.011503
Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,21762,11904,894,0.016116
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,21762,10240,894,0.019444
Agent4LR-M2R2-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.05555555555555555,24490,10368,1212,0.002736
Agent4LR-M2R2-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,24490,10368,1451,0.003836
Agent4LR-M2R2-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,24490,10368,2214,0.005362
Agent4LR-M2R2-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,24490,10368,1212,0.006468
Agent4LR-M2R2-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,24833,5760,1175,0.007262
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,24075,8064,2043,0.008290
Agent4LR-M2R2-M2R2-M2R3,1.0,1.0,1,1,1,1,1,0.0,24075,8064,2263,0.008730
Agent4LR-M2R2-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,24075,9472,1725,0.009053
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,18818,10240,1157,0.015873
Agent4LR-M2R3-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.05555555555555555,7481,1152,562,0.001379
Agent4LR-M2R3-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,15439,1024,678,0.004985
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,17354,3328,11009,0.025608
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,16924,9216,770,0.014300
Agent4LR-M3R1-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.1111111111111111,6114,1408,697,0.007258
Agent4LR-M3R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,6114,1408,697,0.009852
Agent4LR-M3R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,25658,5120,896,0.012673
Agent4LR-M3R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,25658,5120,896,0.015981
Agent4LR-M3R1-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,16976,8064,1081,0.011627
Agent4LR-M3R1-M2R3-M3R1,1.0,1.0,1,1,1,1,1,0.0,20192,9984,1717,0.013254
Agent4LR-M3R1-M3R1-M1R1,3.0,3.0,0,0,1,1,1,0.1111111111111111,14682,6784,842,0.016013
Agent4LR-M3R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,14682,6784,842,0.016534
Agent4LR-M3R1-M3R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,14682,6784,1383,0.017616
Agent4LR-M3R1-M3R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,14682,6784,1160,0.017170
Agent4LR-M3R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,14682,6784,842,0.019140
