path,line,signature
org/jsoup/nodes/Element.java,270,org.jsoup.nodes$Element.append(String)
org/jsoup/nodes/Element.java,287,org.jsoup.nodes$Element.prepend(String)
org/jsoup/nodes/Element.java,314,org.jsoup.nodes$Element.wrap(String)
org/jsoup/parser/Parser.java,25,
org/jsoup/parser/Parser.java,72,
org/jsoup/parser/Parser.java,224,"org.jsoup.parser$Parser.addChildToParent(Element,boolean)"
org/jsoup/parser/Parser.java,252,org.jsoup.parser$Parser.stackHasValidParent(Tag)
org/jsoup/parser/Parser.java,258,org.jsoup.parser$Parser.stackHasValidParent(Tag)
org/jsoup/parser/Tag.java,27,
org/jsoup/parser/Tag.java,98,org.jsoup.parser$Tag.canContain(Tag)
org/jsoup/parser/Tag.java,154,
org/jsoup/parser/Tag.java,156,org.jsoup.parser$Tag.isValidParent(Tag)
org/jsoup/parser/Tag.java,157,org.jsoup.parser$Tag.isValidParent(Tag)
org/jsoup/parser/Tag.java,224,
org/jsoup/parser/Tag.java,288,
org/jsoup/parser/Tag.java,295,
org/jsoup/parser/Tag.java,300,
org/jsoup/parser/Tag.java,307,
org/jsoup/parser/Tag.java,378,
