rank;signature;path;startLine;endLine;score
1;org.jsoup.parser$HtmlTreeBuilder.aboveOnStack(Element);org/jsoup/parser/HtmlTreeBuilder.java;356;366;0.7071067811865475
1;org.jsoup.parser$HtmlTreeBuilder.insertOnStackAfter(Element,Element);org/jsoup/parser/HtmlTreeBuilder.java;368;372;0.7071067811865475
1;org.jsoup.parser$HtmlTreeBuilder.isInActiveFormattingElements(Element);org/jsoup/parser/HtmlTreeBuilder.java;651;653;0.7071067811865475
1;org.jsoup.parser$HtmlTreeBuilder.removeFromStack(Element);org/jsoup/parser/HtmlTreeBuilder.java;283;293;0.7071067811865475
5;org.jsoup.nodes$Node.remove();org/jsoup/nodes/Node.java;262;268;0.3333333333333333
6;org.jsoup.parser$HtmlTreeBuilder.getBaseUri();org/jsoup/parser/HtmlTreeBuilder.java;131;133;0.2672612419124244
7;org.jsoup.parser$HtmlTreeBuilder.isElementInQueue(DescendableLinkedList<Element>,Element);org/jsoup/parser/HtmlTreeBuilder.java;261;270;0.24253562503633297
8;org.jsoup.parser$HtmlTreeBuilder.isSpecial(Element);org/jsoup/parser/HtmlTreeBuilder.java;551;563;0.19611613513818404
9;org.jsoup.nodes$Element.equals(Object);org/jsoup/nodes/Element.java;1127;1130;0.17677669529663687
10;org.jsoup.nodes$Attribute.html(StringBuilder,Document.OutputSettings);org/jsoup/nodes/Attribute.java;72;78;0.15617376188860607
80;org.jsoup.parser$Parser.parse(String,String);org/jsoup/parser/Parser.java;80;91;0.06008417681261097
174;org.jsoup.nodes$Document.normalise();org/jsoup/nodes/Document.java;97;121;0.0
174;org.jsoup.nodes$Element.after(String);org/jsoup/nodes/Element.java;404;414;0.0
174;org.jsoup.nodes$TextNode.attr(String);org/jsoup/nodes/TextNode.java;140;144;0.0
174;org.jsoup.parser$HtmlTreeBuilder.getDocument();org/jsoup/parser/HtmlTreeBuilder.java;127;129;0.0
